Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Marked as	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundances (Normalized): F1: 126, Sample, A1, n/a"	"Abundances (Normalized): F1: 127N, Sample, A2, n/a"	"Abundances (Normalized): F1: 127C, Sample, A3, n/a"	"Abundances (Normalized): F1: 128N, Sample, A4, n/a"	"Abundances (Normalized): F1: 128C, Sample, A5, n/a"	"Abundances (Normalized): F1: 129N, Sample, n/a, B1"	"Abundances (Normalized): F1: 129C, Sample, n/a, B2"	"Abundances (Normalized): F1: 130N, Sample, n/a, B3"	"Abundances (Normalized): F1: 130C, Sample, n/a, B4"	"Abundances (Normalized): F1: 131, Sample, n/a, B5"	"Abundance: F1: 126, Sample, A1, n/a"	"Abundance: F1: 127N, Sample, A2, n/a"	"Abundance: F1: 127C, Sample, A3, n/a"	"Abundance: F1: 128N, Sample, A4, n/a"	"Abundance: F1: 128C, Sample, A5, n/a"	"Abundance: F1: 129N, Sample, n/a, B1"	"Abundance: F1: 129C, Sample, n/a, B2"	"Abundance: F1: 130N, Sample, n/a, B3"	"Abundance: F1: 130C, Sample, n/a, B4"	"Abundance: F1: 131, Sample, n/a, B5"	"Found in Sample: [S1] F1: 126, Sample, A1, n/a"	"Found in Sample: [S2] F1: 127N, Sample, A2, n/a"	"Found in Sample: [S3] F1: 127C, Sample, A3, n/a"	"Found in Sample: [S4] F1: 128N, Sample, A4, n/a"	"Found in Sample: [S5] F1: 128C, Sample, A5, n/a"	"Found in Sample: [S6] F1: 129N, Sample, n/a, B1"	"Found in Sample: [S7] F1: 129C, Sample, n/a, B2"	"Found in Sample: [S8] F1: 130N, Sample, n/a, B3"	"Found in Sample: [S9] F1: 130C, Sample, n/a, B4"	"Found in Sample: [S10] F1: 131, Sample, n/a, B5"	Modifications
FALSE	High	IsMasterProtein	D6RJ07	Zinc finger protein 346 OS=Homo sapiens GN=ZNF346 PE=1 SV=1	0.003	FALSE	Human	4.961	7	2	2	2	1	310	34.6	9.22	2.23	2	0	131.1	85.1	88.4	47.8	70.2	81.8	56.8	69.2	71.3	68.8	131.1	72.1	78.4	41.8	47.9	63.1	47.2	57.7	65.8	59.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	B3KQ45	"cDNA FLJ32798 fis, clone TESTI2002498, highly similar to Homo sapiens membrane protein, palmitoylated 7 (MAGUK p55 subfamily member 7) (MPP7), mRNA OS=Homo sapiens PE=2 SV=1"	0	FALSE	Human	60.143	31	13	32	13	1	576	65.5	7.14	75.04	13	0	1488	1401.5	1171	955.3	2027.1	1163.1	976.2	1572.6	1779.6	1567.2	1488	1187.7	1038.1	834.7	1382.3	896.9	811.5	1311.4	1644.5	1351.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q16181	Septin-7 OS=Homo sapiens GN=SEPT7 PE=1 SV=2	0	FALSE	Human	234.067	57	24	201	21	1	437	50.6	8.63	596.67	24	3	9001.6	16357.2	8367.7	17334.4	9779.3	14935.2	15686.2	8996.9	11707.5	9218.2	9001.6	13861.2	7417.7	15145.9	6668.7	11517.5	13040.1	7502.7	10818.9	7950.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A024R8J2	"Protein tyrosine phosphatase type IVA, member 1, isoform CRA_a OS=Homo sapiens GN=PTP4A1 PE=4 SV=1"	0.005	FALSE	Human	4.417	9	2	6	2	1	173	19.8	8.97	13.59	2	0	671.6	727.5	478	500.2	588.9	609.3	987.6	675.8	627.1	722.8	671.6	616.5	423.7	437	401.6	469.9	821	563.6	579.5	623.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P13726	Tissue factor OS=Homo sapiens GN=F3 PE=1 SV=1	0	FALSE	Human	28.842	15	3	9	3	1	295	33	7.03	24.37	3	0	444.5	571.1	400.9	641.5	489.7	670.9	674	383.9	412.6	395.5	444.5	484	355.4	560.5	333.9	517.4	560.3	320.2	381.2	341.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P26368	Splicing factor U2AF 65 kDa subunit OS=Homo sapiens GN=U2AF2 PE=1 SV=4	0	FALSE	Human	207.872	53	15	123	15	1	475	53.5	9.09	330.13	15	0	7782.2	7596.8	5366.9	4953.4	4541.2	8030.5	3679.7	5434.2	5307.9	4640.2	7782.2	6437.6	4757.6	4328.1	3096.7	6192.9	3058.9	4531.7	4905	4002.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P68133	"Actin, alpha skeletal muscle OS=Homo sapiens GN=ACTA1 PE=1 SV=1"	0	FALSE	Human	465.572	73	26	1727	1	1	377	42	5.39	4491.36	26	0	1150.9	1200.1	1141.9	1262.7	1351.7	1157.2	1217.6	1179.9	1253.5	1159.4	1150.9	1017	1012.2	1103.3	921.7	892.4	1012.2	984	1158.4	1000	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q96CB9	5-methylcytosine rRNA methyltransferase NSUN4 OS=Homo sapiens GN=NSUN4 PE=1 SV=2	0.001	FALSE	Human	6.21	8	3	3	3	1	384	43.1	8.18	5.38	3	0	578.4	695.6	420.5	549.9	972	820.6	325.5	650.6	911.6	750.3	578.4	589.4	372.8	480.5	662.8	632.8	270.6	542.6	842.4	647.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9BQ39	ATP-dependent RNA helicase DDX50 OS=Homo sapiens GN=DDX50 PE=1 SV=1	0	FALSE	Human	29.649	12	7	19	4	1	737	82.5	9.17	38.8	7	0	349.9	349	244	240.2	221.6	350.3	216.9	208.9	234.7	239.8	349.9	295.7	216.3	209.8	151.1	270.1	180.3	174.2	216.9	206.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	F5H6H0	High mobility group protein HMGI-C OS=Homo sapiens GN=HMGA2 PE=1 SV=1	0	FALSE	Human	33.953	24	3	8	3	1	147	16.4	11.59	24.48	3	0	593.9	248.3	344	253.9	233.4	319.5	107.9	646.5	320.3	175.4	593.9	210.4	304.9	221.9	159.1	246.4	89.7	539.1	296	151.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P62263	40S ribosomal protein S14 OS=Homo sapiens GN=RPS14 PE=1 SV=3	0	FALSE	Human	53.042	36	4	31	4	1	151	16.3	10.05	120.99	4	0	2363.1	1670.9	1716.9	1492.6	1180.9	1957.7	970.2	2043.1	1518.3	1283.9	2363.1	1415.9	1522	1304.2	805.2	1509.7	806.5	1703.8	1403.1	1107.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q8NI08	Nuclear receptor coactivator 7 OS=Homo sapiens GN=NCOA7 PE=1 SV=2	0.006	FALSE	Human	4.023	4	2	2	2	1	942	106.1	5.59	0	2	0	7.2	25.1	6.6	20.3	3.1	30.8	8.9	2	10.1	6	7.2	21.2	5.9	17.7	2.1	23.7	7.4	1.7	9.3	5.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O14920	Inhibitor of nuclear factor kappa-B kinase subunit beta OS=Homo sapiens GN=IKBKB PE=1 SV=1	0	FALSE	Human	31.199	7	5	14	4	1	756	86.5	5.78	27.6	5	1	641.3	785.7	654.2	1130.8	826.4	696.9	1142.3	724.4	950.6	881.4	641.3	665.8	579.9	988	563.6	537.4	949.6	604.1	878.5	760.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A024R529	"Dihydroxyacetone kinase 2 homolog (Yeast), isoform CRA_a OS=Homo sapiens GN=DAK PE=4 SV=1"	0	FALSE	Human	35.776	15	6	14	6	1	575	58.9	7.49	34.34	6	0	793.6	866.1	661.2	730.4	676.6	741.1	829	672.6	652.1	733.9	793.6	733.9	586.2	638.2	461.4	571.5	689.2	560.9	602.6	633	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P62851	40S ribosomal protein S25 OS=Homo sapiens GN=RPS25 PE=1 SV=1	0	FALSE	Human	15.633	31	4	13	4	1	125	13.7	10.11	37.18	4	0	3169.1	3272.8	2221.7	2175.9	1383.9	3252	2237	2678.8	1669.7	1750	3169.1	2773.4	1969.5	1901.2	943.7	2507.8	1859.6	2233.9	1543	1509.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q5T9A4	ATPase family AAA domain-containing protein 3B OS=Homo sapiens GN=ATAD3B PE=1 SV=1	0	FALSE	Human	61.39	22	16	40	1	1	648	72.5	9.2	89.36	16	0	28.1	38.2	28.2	33.2	33.8	28	57.9	24	35	23.6	28.1	32.4	25	29	23	21.6	48.1	20	32.4	20.3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9BYE4	Small proline-rich protein 2G OS=Homo sapiens GN=SPRR2G PE=3 SV=1	0.001	FALSE	Human	7.272	30	2	4	2	1	73	8.2	7.96	11.17	2	0	128.3	99.1	967.6	60.3	63.3	58.8	55.2	108.9	91.9	87.1	128.3	84	857.8	52.7	43.2	45.4	45.9	90.8	85	75.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q96M83	Coiled-coil domain-containing protein 7 OS=Homo sapiens GN=CCDC7 PE=2 SV=3	0.004	FALSE	Human	4.68	1	2	4	2	1	1385	157.4	7.58	11.16	2	0	40.7	69.2	33.9	112.5	41.8	89.2	45.8	57.5	55.7	34	40.7	58.6	30.1	98.3	28.5	68.8	38.1	48	51.5	29.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P33897	ATP-binding cassette sub-family D member 1 OS=Homo sapiens GN=ABCD1 PE=1 SV=2	0	FALSE	Human	15.761	10	4	12	4	1	745	82.9	8.95	17.07	4	0	203.9	271.4	233	417.2	269.2	267.3	267	250.9	268.9	235.6	203.9	230	206.6	364.5	183.5	206.1	221.9	209.2	248.5	203.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A0C4DFX3	EMILIN-1 OS=Homo sapiens GN=EMILIN1 PE=1 SV=1	0	FALSE	Human	287.927	35	28	207	20	1	1016	106.6	5.17	698.77	28	10	6966.2	14484.3	5690.7	18450	8372.7	17804.6	13385	7439.5	9377.2	7486.5	6966.2	12274.2	5044.6	16120.6	5709.5	13730.3	11127.1	6203.9	8665.5	6457.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	B9EJB8	"Collagen, type XII, alpha 1 OS=Homo sapiens GN=COL12A1 PE=2 SV=1"	0	FALSE	Human	657.459	45	61	466	1	1	1899	205.4	6	1506.1	61	0	182.8	97.1	46.5	273.8	135.2	130.6	93.7	294.2	342	177	182.8	82.3	41.3	239.2	92.2	100.7	77.9	245.3	316	152.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P50851	Lipopolysaccharide-responsive and beige-like anchor protein OS=Homo sapiens GN=LRBA PE=1 SV=4	0	FALSE	Human	80.412	9	25	40	23	1	2863	318.9	5.6	81.62	25	3	2111.1	3672.6	1807	2199.1	2689.2	3644.2	1874.8	2794.5	2269.4	2582.2	2111.1	3112.2	1601.8	1921.5	1833.8	2810.2	1558.6	2330.4	2097.1	2227.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9UEW8	STE20/SPS1-related proline-alanine-rich protein kinase OS=Homo sapiens GN=STK39 PE=1 SV=3	0	FALSE	Human	25.766	11	5	15	5	1	545	59.4	6.29	47.56	5	0	484.9	1438.7	471	898.9	437.5	1290.5	866	405.5	482	359.9	484.9	1219.1	417.6	785.4	298.4	995.2	719.9	338.2	445.5	310.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O75953-5	Isoform 3 of DnaJ homolog subfamily B member 5 OS=Homo sapiens GN=DNAJB5	0.004	FALSE	Human	4.524	6	2	8	2	1	462	51.7	9.76	7.22	2	0																					High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9HC36	"rRNA methyltransferase 3, mitochondrial OS=Homo sapiens GN=MRM3 PE=1 SV=2"	0	FALSE	Human	30.627	16	5	9	5	1	420	47	8.73	25.88	5	0	463.9	563.8	395.3	474.3	497.9	650.5	284.8	474.3	447.4	437.3	463.9	477.8	350.4	414.4	339.5	501.6	236.7	395.5	413.4	377.1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	B2RCD8	"cDNA, FLJ96012, highly similar to Homo sapiens interferon regulatory factor 2 binding protein 1 (IRF2BP1), mRNA OS=Homo sapiens PE=2 SV=1"	0	FALSE	Human	10.709	9	4	6	4	1	584	61.7	8.18	7.35	4	0	116.3	208.9	86.1	80	66.4	209.6	56.5	83.9	67.6	58.6	116.3	177	76.4	69.9	45.3	161.6	47	69.9	62.5	50.5	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P83731	60S ribosomal protein L24 OS=Homo sapiens GN=RPL24 PE=1 SV=1	0	FALSE	Human	43.554	41	8	29	8	1	157	17.8	11.25	91	8	0	5305.4	5484.2	4465.6	4067.9	2235.6	6688.6	2942.9	4217.6	4310	2614.2	5305.4	4647.4	3958.7	3554.3	1524.5	5158	2446.5	3517.1	3982.9	2254.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9UFN0	Protein NipSnap homolog 3A OS=Homo sapiens GN=NIPSNAP3A PE=1 SV=2	0	FALSE	Human	119.048	57	12	96	11	1	247	28.4	9.16	252.51	12	1	3963	6081.5	3894.9	5121.3	9200.6	7750.8	4828.5	5942.7	7709.4	7670	3963	5153.6	3452.7	4474.7	6274.1	5977.2	4014	4955.7	7124.3	6615.5	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q16594	Transcription initiation factor TFIID subunit 9 OS=Homo sapiens GN=TAF9 PE=1 SV=1	0.002	FALSE	Human	5.474	7	2	3	2	1	264	29	8.66	6.93	2	0	137.7	202	118.1	180.2	103.7	176.1	116.9	101.3	149.4	110.7	137.7	171.2	104.7	157.5	70.7	135.8	97.1	84.5	138	95.5	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A8K7J6	"cDNA FLJ76418, highly similar to Homo sapiens mitochondrial ribosomal protein L52 (MRPL52), transcript variant 1, mRNA OS=Homo sapiens PE=1 SV=1"	0.001	FALSE	Human	5.827	27	1	1	1	1	123	13.7	10.26	4.03	1	0	13.9	31.2	11.6	12.8	16.4	19.2	15.6	14.2	19.8	19.3	13.9	26.5	10.3	11.2	11.2	14.8	12.9	11.8	18.3	16.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	D3DTP7	Phospholipid scramblase OS=Homo sapiens GN=hCG_1987383 PE=3 SV=1	0.001	FALSE	Human	6.727	6	2	7	2	1	350	37.7	7.81	15.21	2	0	549.4	548.4	706.6	774.8	543	547.6	1429.7	550.4	623.2	548.4	549.4	464.7	626.3	677	370.3	422.3	1188.5	458.9	575.9	473	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O14639-6	Isoform 6 of Actin-binding LIM protein 1 OS=Homo sapiens GN=ABLIM1	0	FALSE	Human	36.782	16	11	19	10	1	748	84.5	8.32	26.5	11	1	731.7	653.7	548.9	630.1	506.1	624	782.2	496.8	480.1	409.2	731.7	554	486.6	550.5	345.1	481.2	650.3	414.3	443.6	352.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q15392	Delta(24)-sterol reductase OS=Homo sapiens GN=DHCR24 PE=1 SV=2	0	FALSE	Human	30.88	14	6	31	6	1	516	60.1	8.16	71.99	6	0	859.3	895.2	765.1	933.5	5350.5	806.2	908.5	1747.9	2640.6	3224.1	859.3	758.6	678.2	815.6	3648.6	621.7	755.3	1457.6	2440.2	2780.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	G0XQ39	STIM1L OS=Homo sapiens GN=STIM1 PE=1 SV=1	0	FALSE	Human	50.627	15	12	32	11	1	791	88.6	6.64	92.55	12	2	1922.1	2264.2	2615.9	2990	2868.2	2559.5	2223.7	2607.3	2672.3	2690.6	1922.1	1918.7	2318.9	2612.5	1955.9	1973.8	1848.6	2174.3	2469.5	2320.7	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	O96019	Actin-like protein 6A OS=Homo sapiens GN=ACTL6A PE=1 SV=1	0	FALSE	Human	82.315	38	10	32	10	1	429	47.4	5.6	88.18	10	0	1526.4	1487.1	1366.3	1156.2	1224.7	1392.1	964.3	1301.3	1200.2	1161.2	1526.4	1260.2	1211.1	1010.2	835.2	1073.6	801.7	1085.1	1109.1	1001.5	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	B7ZLQ5	Probable global transcription activator SNF2L1 OS=Homo sapiens GN=SMARCA1 PE=1 SV=1	0	FALSE	Human	51.624	16	15	35	1	1	1070	124.2	8.4	73.82	15	4	326.5	649	291	431.7	309.9	495.4	351.5	368.9	382.6	350.1	326.5	549.9	258	377.2	211.3	382	292.2	307.6	353.5	301.9	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A024R774	"Nuclear respiratory factor 1, isoform CRA_b OS=Homo sapiens GN=NRF1 PE=4 SV=1"	0.001	FALSE	Human	7.085	5	2	3	2	1	522	55.6	5.16	8.41	2	0	172.7	162.5	140.4	211.2	126.2	173.1	151.7	134.2	163.5	137.9	172.7	137.7	124.4	184.5	86	133.5	126.1	111.9	151.1	119	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P22570-7	"Isoform 7 of NADPH:adrenodoxin oxidoreductase, mitochondrial OS=Homo sapiens GN=FDXR"	0	FALSE	Human	140.724	49	20	87	1	1	522	57.3	9.2	266.39	20	21	6020	5169.5	5786	4009.1	9499.7	4027.1	5723.9	7379.6	8971.5	8793.5	6020	4380.7	5129.2	3502.9	6478	3105.6	4758.3	6153.9	8290.6	7584.5	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	D9YZV5	Tropomyosin 1 (Alpha) isoform 4 OS=Homo sapiens GN=TPM1 PE=3 SV=1	0	FALSE	Human	138.388	62	24	207	3	1	284	32.9	4.78	582.86	24	24	19731.7	18548.4	16933.8	35653.2	16831.8	25582.7	17222.7	18163.6	21525.4	19739.8	19731.7	15718.1	15011.3	31151.9	11477.8	19728.5	14317.4	15146.9	19891.7	17025.8	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q549N0	"Cofilin 2 (Muscle), isoform CRA_a OS=Homo sapiens GN=CFL2 PE=2 SV=1"	0	FALSE	Human	59.431	40	7	79	4	1	166	18.7	7.88	310.57	7	0	365.9	505.9	374	492.4	357.5	471.4	2452.5	405.8	379.4	359	365.9	428.7	331.5	430.2	243.8	363.5	2038.8	338.4	350.6	309.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A8K874	"cDNA FLJ77588, highly similar to Homo sapiens MAK10 homolog, amino-acid N-acetyltransferase subunit, (S. cerevisiae) (MAK10), mRNA OS=Homo sapiens PE=2 SV=1"	0	FALSE	Human	16.11	6	3	5	3	1	725	83.6	7.05	10.01	3	0	73.5	100.3	55.5	77.6	75.4	65.6	97.2	78.5	59.2	78.3	73.5	85	49.2	67.8	51.4	50.6	80.8	65.5	54.7	67.6	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q53EZ1	Casein kinase 1 epsilon variant (Fragment) OS=Homo sapiens PE=2 SV=1	0	FALSE	Human	42.938	24	9	19	1	1	416	47.2	9.63	47.09	9	0	125.9	36.4	165.1	39.4	125.9	36.8	101.9	92.6	111.1	88.4	125.9	30.9	146.4	34.4	85.9	28.4	84.7	77.2	102.6	76.2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9C0C2	182 kDa tankyrase-1-binding protein OS=Homo sapiens GN=TNKS1BP1 PE=1 SV=4	0	FALSE	Human	112.448	19	24	54	24	1	1729	181.7	4.86	105.13	24	0	2371.9	2541.5	2295.1	2426	3137.2	2558.1	1867.4	3869.2	3873.9	2806.2	2371.9	2153.7	2034.5	2119.7	2139.3	1972.7	1552.4	3226.6	3579.8	2420.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A096LNH6	Dedicator of cytokinesis protein 1 OS=Homo sapiens GN=DOCK1 PE=1 SV=1	0	FALSE	Human	33.362	9	14	18	13	1	1886	217.6	7.71	19.6	14	1	576.8	496.2	451.8	534.1	471.5	481.3	501.7	481.6	474	487.4	576.8	420.5	400.5	466.7	321.5	371.2	417	401.6	438	420.4	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q15833	Syntaxin-binding protein 2 OS=Homo sapiens GN=STXBP2 PE=1 SV=2	0	FALSE	Human	115.996	31	16	57	16	1	593	66.4	6.55	159.27	16	0	2300.9	2312.1	2283	3315.4	3431.3	2311.2	2039.8	3604.7	3255.5	3399.3	2300.9	1959.3	2023.8	2896.8	2339.9	1782.3	1695.7	3006	3008.4	2931.9	High	High	High	High	High	High	High	High	High	High	
