Checked	Protein FDR Confidence: Combined	Master	Accession	Description	Exp. q-value: Combined	Contaminant	Marked as	Sum PEP Score	Coverage [%]	# Peptides	# PSMs	# Unique Peptides	# Protein Groups	# AAs	MW [kDa]	calc. pI	Score Sequest HT: Sequest HT	# Peptides (by Search Engine): Sequest HT	# Razor Peptides	"Abundance Ratio: (F1, 126) / (F1, 131)"	"Abundance Ratio: (F1, 127N) / (F1, 131)"	"Abundance Ratio: (F1, 127C) / (F1, 131)"	"Abundance Ratio: (F1, 128N) / (F1, 131)"	"Abundance Ratio: (F1, 128C) / (F1, 131)"	"Abundance Ratio: (F1, 129N) / (F1, 131)"	"Abundance Ratio: (F1, 129C) / (F1, 131)"	"Abundance Ratio: (F1, 130N) / (F1, 131)"	"Abundance Ratio: (F1, 130C) / (F1, 131)"	"Abundances (Normalized): F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundances (Normalized): F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundances (Normalized): F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundances (Normalized): F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundances (Normalized): F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundances (Normalized): F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundances (Normalized): F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundances (Normalized): F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundances (Normalized): F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundances (Normalized): F1: 131, Sample, n/a, n/a, n/a, GIS"	"Abundance: F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundance: F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundance: F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundance: F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundance: F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundance: F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundance: F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundance: F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundance: F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundance: F1: 131, Sample, n/a, n/a, n/a, GIS"	"Abundances Count: F1: 126, Sample, CON1, n/a, n/a, n/a"	"Abundances Count: F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Abundances Count: F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Abundances Count: F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Abundances Count: F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Abundances Count: F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Abundances Count: F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Abundances Count: F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Abundances Count: F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Abundances Count: F1: 131, Sample, n/a, n/a, n/a, GIS"	"Found in Sample: [S1] F1: 126, Sample, CON1, n/a, n/a, n/a"	"Found in Sample: [S2] F1: 127N, Sample, CON2, n/a, n/a, n/a"	"Found in Sample: [S3] F1: 127C, Sample, CON3, n/a, n/a, n/a"	"Found in Sample: [S4] F1: 128N, Sample, n/a, T24h-1, n/a, n/a"	"Found in Sample: [S5] F1: 128C, Sample, n/a, T24h-2, n/a, n/a"	"Found in Sample: [S6] F1: 129N, Sample, n/a, T24h-3, n/a, n/a"	"Found in Sample: [S7] F1: 129C, Sample, n/a, n/a, T48h-1, n/a"	"Found in Sample: [S8] F1: 130N, Sample, n/a, n/a, T48h-2, n/a"	"Found in Sample: [S9] F1: 130C, Sample, n/a, n/a, T48h-3, n/a"	"Found in Sample: [S10] F1: 131, Sample, n/a, n/a, n/a, GIS"	Modifications
FALSE	High	IsMasterProtein	P35579	Myosin-9 OS=Homo sapiens GN=MYH9 PE=1 SV=4	0	FALSE	Human	1407.342	65	144	1959	40	1	1960	226.4	5.6	7509.64	144	127	1.01	1.045	1.012	0.971	0.965	1.016	0.981	0.981	0.969	226000.5	233775.3	226394.1	217207.1	216034.3	227339.8	219597.5	219482.6	216758.8	223784.8	226000.5	229159.4	222242.8	215017.2	196309.3	225198.1	207150.1	196909.7	205191.2	199586.7	173	173	173	173	173	173	173	173	173	173	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P49327	Fatty acid synthase OS=Homo sapiens GN=FASN PE=1 SV=3	0	FALSE	Human	1353.338	63	122	2356	120	1	2511	273.3	6.44	8954.84	122	2	0.954	0.994	0.954	0.909	1.078	0.976	0.989	1.075	1.049	250546.6	261174.9	250572.9	238836	283100.4	256393.8	259732.2	282349.4	275605.4	262628.7	250546.6	256018	245978.1	236428.1	257251.9	253978.3	245009.8	253310.8	260897.4	234230.4	140	140	140	140	140	140	140	140	140	140	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A087X1U6	Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=1	0	FALSE	Human	1296.606	69	149	1407	11	1	5088	555.3	5.62	5884.69	149	145	1.049	1.025	1.048	1.048	0.946	1.042	1.02	0.924	0.927	115638.8	113000.6	115487.2	115479.2	104230.9	114822.8	112388	101808.5	102151.9	110217.9	115638.8	110769.4	113369.5	114315	94714.1	113741.1	106017.5	91337.9	96700.4	98299.9	156	156	156	156	156	156	156	156	156	156	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q13813-2	"Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1"	0	FALSE	Human	1230.48	68	157	825	4	1	2477	284.9	5.35	3163.45	157	159	1.007	1.001	1.014	0.979	0.993	1.013	1.002	1.013	1.014	109641.4	108976.1	110346.8	106525.7	108095.4	110311.8	109026	110286.3	110353.3	108846.9	109641.4	106824.4	108323.3	105451.7	98225.7	109272.5	102846.1	98943.8	104464.2	97077.2	163	163	163	163	163	163	163	163	163	163	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P58107	Epiplakin OS=Homo sapiens GN=EPPK1 PE=1 SV=2	0	FALSE	Human	1224.122	67	140	1370	3	1	5090	555.3	5.6	5768.37	140	0	1.034	1.033	1.047	1.041	0.945	1.066	1.012	0.95	0.932	1480.7	1478.6	1500.1	1490.9	1353.4	1526.6	1449.7	1360	1334.4	1432	1480.7	1449.4	1472.5	1475.9	1229.8	1512.2	1367.5	1220.1	1263.2	1277.2	3	3	3	3	3	3	3	3	3	3	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q13813-3	"Isoform 3 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1"	0	FALSE	Human	1219.619	68	155	805	2	1	2452	282.1	5.34	3085.09	155	0	0.996	1.04	1.065	0.957	1.076	1.058	1.039	1.083	1.103	537.6	561.2	574.6	516.3	580.7	571.1	560.8	584.5	595.2	539.7	537.6	550.1	564	511.1	527.7	565.7	529	524.4	563.4	481.3	2	2	2	2	2	2	2	2	2	2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P15924	Desmoplakin OS=Homo sapiens GN=DSP PE=1 SV=3	0	FALSE	Human	1096.187	61	181	677	181	1	2871	331.6	6.81	2463.14	181	0	1.031	1.024	1.029	0.967	0.993	1.001	0.991	1.014	1.001	112670.5	111954	112462.6	105708.8	108519	109416.3	108366.2	110817.8	109426.1	109318.2	112670.5	109743.5	110400.4	104643	98610.7	108385.6	102223.7	99420.6	103586.4	97497.5	187	187	187	187	187	187	187	187	187	187	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	A0A087WVQ6	Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=1	0	FALSE	Human	1070.216	70	93	2243	72	1	1679	191.9	5.69	8794.08	93	25	0.997	1.007	0.996	0.963	1.022	0.977	0.998	1.007	1	228340.7	230557.9	227940.5	220503.2	233880.2	223630.4	228435.6	230488.1	229001.7	228942.8	228340.7	226005.5	223760.7	218280	212525.8	221523.6	215487.2	206783.2	216780.7	204187	107	107	107	107	107	107	107	107	107	107	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9NZM1-6	Isoform 6 of Myoferlin OS=Homo sapiens GN=MYOF	0	FALSE	Human	1067.626	70	128	1080	4	1	2048	233.3	6.21	3782.72	128	139	1.008	0.98	1.009	1.069	0.975	1.016	1.012	0.966	0.975	140873.5	137009	140953.8	149440.5	136313	142010.2	141410.7	135039.8	136211.5	139740	140873.5	134303.7	138369.1	147933.9	123866.9	140672.3	133395.2	121151.5	128942.4	124629.8	143	143	143	143	143	143	143	143	143	143	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14789-2	Isoform 2 of Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1	0	FALSE	Human	1055.775	62	174	453	2	1	3269	376.9	5	1616.64	174	167	1.008	0.991	1.021	1.08	0.966	1.026	1.013	0.978	0.99	55335.3	54408.4	56076.1	59287.2	53031.7	56321	55654.4	53733.8	54370.2	54917.5	55335.3	53334.1	55047.8	58689.5	48189.6	55790.4	52499.7	48207.5	51468.7	48979.2	169	169	169	169	169	169	169	169	169	169	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14789	Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1 PE=1 SV=2	0	FALSE	Human	1046.531	62	173	449	0	1	3259	375.8	5	1602.03	173	1	1.05	0.949	1.112	1.192	1.046	1.127	1.05	0.904	1.105	65.6	59.3	69.5	74.5	65.3	70.4	65.6	56.4	69	62.5	65.6	58.1	68.2	73.7	59.4	69.7	61.9	50.6	65.3	55.7	1	1	1	1	1	1	1	1	1	1	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	Not Found	
FALSE	High	IsMasterProtein	F1T0J2	Golgin subfamily B member 1 OS=Homo sapiens GN=GOLGB1 PE=1 SV=1	0	FALSE	Human	1042.674	62	172	441	1	1	3184	367.2	5.02	1588.07	172	0	1.068	0.969	0.859	1.16	1.125	1.135	1.202	0.992	1.137	29.5	26.7	23.7	32	31	31.3	33.2	27.4	31.4	27.6	29.5	26.2	23.2	31.7	28.2	31	31.3	24.5	29.7	24.6	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9NZM1-3	Isoform 3 of Myoferlin OS=Homo sapiens GN=MYOF	0	FALSE	Human	1037.864	67	125	1062	1	1	2050	233.2	6.1	3713.3	125	0	0.92	0.913	1.069	0.995	1.012	1	1.034	1.021	1.077	341.2	338.9	396.7	369.3	375.6	370.9	383.5	378.9	399.7	371	341.2	332.2	389.4	365.6	341.3	367.4	361.7	339.9	378.4	330.9	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q01082	"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2"	0	FALSE	Human	1030.419	65	131	654	9	1	2364	274.4	5.57	2346.48	131	136	1.017	1.013	1.026	0.991	1	1.015	1.01	1.009	1.005	80661.3	80412.7	81379	78643.6	79332	80522.2	80118.2	80079	79757.2	79342.3	80661.3	78824.9	79886.8	77850.7	72088.6	79763.6	75576.9	71843.2	75500.9	70762.9	145	145	145	145	145	145	145	145	145	145	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q7Z406-6	Isoform 6 of Myosin-14 OS=Homo sapiens GN=MYH14	0	FALSE	Human	950.4	60	121	777	105	1	2003	228.5	5.6	3059.44	121	5	0.976	1.013	1	0.979	1.002	1.018	1.004	1.017	1.016	69145.9	71790.6	70826.6	69377.5	70961.5	72099.6	71110.2	72023.1	71976.1	70834.5	69145.9	70373.1	69527.8	68678	64482.4	71420.4	67079.5	64615.8	68135	63175.1	116	116	116	116	116	116	116	116	116	116	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q01082-3	"Isoform 2 of Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1"	0	FALSE	Human	943.207	66	123	600	2	1	2155	251.2	5.53	2161.86	123	0	1	1.022	0.968	1.054	0.996	1.046	1.005	1.006	0.974	746.3	762.9	722.7	786.4	743.1	780.7	750	750.4	727	746.3	746.3	747.8	709.5	778.4	675.3	773.3	707.5	673.3	688.2	665.6	2	2	2	2	2	2	2	2	2	2	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q8WXH0-2	Isoform 2 of Nesprin-2 OS=Homo sapiens GN=SYNE2	0	FALSE	Human	941.115	32	195	323	192	1	6907	798.4	5.36	1046.05	195	3	0.995	0.978	0.998	1.058	0.994	1.009	1.01	0.988	0.994	39759.8	39104.2	39907.1	42306.7	39743.4	40349.4	40355.4	39502.7	39746.9	39970.2	39759.8	38332.1	39175.3	41880.2	36114.6	39969.3	38068	35440	37625.8	35648.2	181	181	181	181	181	181	181	181	181	181	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14980	Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1 PE=1 SV=2	0	FALSE	Human	938.382	66	130	537	2	1	2115	238.1	5.78	2091.7	130	131	1	0.982	1	1.099	0.966	1.028	1.029	0.957	0.977	75468.1	74112.8	75493.9	82978.9	72913.9	77583.6	77651.4	72257.3	73769.7	75471.3	75468.1	72649.4	74109.6	82142.3	66256.5	76852.6	73249.9	64825.9	69832.9	67310.5	133	133	133	133	133	133	133	133	133	133	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q7Z6Z7	E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1 PE=1 SV=3	0	FALSE	Human	936.299	41	133	460	1	1	4374	481.6	5.22	1657.09	133	0	0.93	0.864	1.157	0.927	1.043	1.047	0.851	0.922	1.046	20.7	19.3	25.8	20.7	23.3	23.4	19	20.6	23.3	22.3	20.7	18.9	25.3	20.5	21.2	23.1	17.9	18.5	22.1	19.9	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q14980-2	Isoform 2 of Nuclear mitotic apparatus protein 1 OS=Homo sapiens GN=NUMA1	0	FALSE	Human	933.94	66	129	528	1	1	2101	236.4	5.8	2056.73	129	0	1.027	1.002	1.066	1.079	1.015	1.03	1.026	1.007	1.027	603.5	588.5	626.1	634.1	596.4	604.9	602.5	591.3	603.5	587.4	603.5	576.9	614.6	627.7	541.9	599.2	568.3	530.4	571.3	523.9	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q92616	Translational activator GCN1 OS=Homo sapiens GN=GCN1L1 PE=1 SV=6	0	FALSE	Human	931.871	56	137	565	137	1	2671	292.6	7.47	2038.7	137	0	1.007	1.004	0.987	0.921	1.059	0.971	0.989	1.06	1.042	80535.3	80353	78953.1	73647.7	84734.9	77637.9	79121.6	84770.6	83322.9	79996.2	80535.3	78766.4	77505.3	72905.2	76998.2	76906.5	74636.7	76052.3	78876.3	71346.1	141	141	141	141	141	141	141	141	141	141	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q7Z6Z7-2	Isoform 2 of E3 ubiquitin-protein ligase HUWE1 OS=Homo sapiens GN=HUWE1	0	FALSE	Human	930.073	41	133	460	1	1	4358	479.9	5.24	1656.28	133	132	1.004	0.996	1.007	0.932	1.037	0.986	0.995	1.046	1.031	46309.8	45938.8	46460.8	42981.6	47810.7	45489.2	45887.6	48225.1	47540.7	46116	46309.8	45031.7	45608.9	42548.3	43445.3	45060.7	43286.5	43265.4	45003.6	41129.4	133	133	133	133	133	133	133	133	133	133	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P35579-2	Isoform 2 of Myosin-9 OS=Homo sapiens GN=MYH9	0	FALSE	Human	921.118	63	100	1317	1	1	1382	159.8	5.97	4757.02	100	0	1.15	1.176	1.27	1.025	1.259	1.331	1.449	1.09	0.89	21.2	21.6	23.4	18.8	23.2	24.5	26.6	20.1	16.4	18.4	21.2	21.2	22.9	18.7	21	24.2	25.1	18	15.5	16.4	1	1	1	1	1	1	1	1	1	1	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q5T4S7	E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens GN=UBR4 PE=1 SV=1	0	FALSE	Human	913.702	34	153	362	151	1	5183	573.5	6.04	1226.23	153	2	1.006	1.011	1.008	0.935	1.037	0.985	0.988	1.054	1.035	46403.6	46620.3	46481.6	43146.9	47836.3	45421.3	45576.1	48620.4	47726.1	46128	46403.6	45699.8	45629.3	42711.9	43468.6	44993.4	42992.7	43620	45179.1	41140.1	150	150	150	150	150	150	150	150	150	150	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	Q9Y490	Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3	0	FALSE	Human	891.163	62	125	439	109	1	2541	269.6	6.07	1718.74	125	16	0.998	1.028	0.997	0.923	1.047	0.987	0.988	1.041	1.028	53011.1	54619.3	52985.2	49029.6	55618.7	52418	52482.2	55283.1	54595	53122.9	53011.1	53540.8	52013.6	48535.3	50540.4	51924.2	49507.4	49597.4	51681.5	47378.7	129	129	129	129	129	129	129	129	129	129	High	High	High	High	High	High	High	High	High	High	
FALSE	High	IsMasterProtein	P46013	Antigen KI-67 OS=Homo sapiens GN=MKI67 PE=1 SV=2	0	FALSE	Human	860.361	53	133	338	13	1	3256	358.5	9.45	1242.77	133	118	0.929	0.883	0.921	0.998	1.148	0.938	0.936	1.137	1.133	50688.3	48164	50235.1	54439.3	62591.2	51163.2	51036.8	62017.4	61805.4	54536.9	50688.3	47213	49314	53890.4	56876.3	50681.2	48143.9	55639.1	58507.1	48639.8	130	130	130	130	130	130	130	130	130	130	High	High	High	High	High	High	High	High	High	High	
