CON1	CON2	CON3	shRNA1	shRNA2	shRNA3	Accession	Description	Genename
36.5	35.7	40.1	26.2	42.5	29.5	Q8WWB7	Lysosomal protein NCU-G1 OS=Homo sapiens GN=C1orf85 PE=2 SV=1	C1orf85
115.2	116.4	101.8	82.9	115.4	95.6	Q8NBP5	Major facilitator superfamily domain-containing protein 9 OS=Homo sapiens GN=MFSD9 PE=2 SV=2	MFSD9
237.9	242.2	231	171.5	199.4	195	E9PGC8	MAP1 light chain LC2 OS=Homo sapiens GN=MAP1A PE=1 SV=1	MAP1A
392.5	389.5	334.6	283.6	356.1	330.9	Q9NUQ6-2	Isoform 2 of SPATS2-like protein OS=Homo sapiens GN=SPATS2L	SPATS2L
147.8	148.7	144.5	107.2	139.3	111.4	P48729-3	Isoform 3 of Casein kinase I isoform alpha OS=Homo sapiens GN=CSNK1A1	CSNK1A1
508.4	541.6	499.2	368.8	499	438.7	O95197-3	Isoform 3 of Reticulon-3 OS=Homo sapiens GN=RTN3	RTN3
2784.3	2789.3	2718	2022.1	2173.9	2100.3	Q14781	Chromobox protein homolog 2 OS=Homo sapiens GN=CBX2 PE=1 SV=2	CBX2
23.4	19.9	20.4	17	17.3	17.8	Q9Y2B2	N-acetylglucosaminyl-phosphatidylinositol de-N-acetylase OS=Homo sapiens GN=PIGL PE=1 SV=1	PIGL
335.3	366.1	335.7	244.6	326.8	282.8	Q5TGY1	Transmembrane and coiled-coil domain-containing protein 4 OS=Homo sapiens GN=TMCO4 PE=2 SV=1	TMCO4
212.7	204.3	205.6	156.1	179.9	163.1	P78312-5	Isoform 5 of Protein FAM193A OS=Homo sapiens GN=FAM193A	FAM193A
961.4	999.1	924.9	706	818.3	764.3	Q9UHL4	Dipeptidyl peptidase 2 OS=Homo sapiens GN=DPP7 PE=1 SV=3	DPP7
1011.6	979.3	936.1	744.3	798.5	818.8	O43150	"Arf-GAP with SH3 domain, ANK repeat and PH domain-containing protein 2 OS=Homo sapiens GN=ASAP2 PE=1 SV=3"	ASAP2
688.2	691.1	700.4	506.6	582.6	551	Q9P2B2	Prostaglandin F2 receptor negative regulator OS=Homo sapiens GN=PTGFRN PE=1 SV=2	PTGFRN
50.3	53.1	56.5	37.2	44.5	33.3	P27816	Microtubule-associated protein 4 OS=Homo sapiens GN=MAP4 PE=1 SV=3	MAP4
240	229.4	211.2	177.8	219.3	197	Q8N371-3	Isoform 3 of Lysine-specific demethylase 8 OS=Homo sapiens GN=KDM8	KDM8
82	92.1	93.5	60.8	68	76.6	Q99576-3	Isoform 2 of TSC22 domain family protein 3 OS=Homo sapiens GN=TSC22D3	TSC22D3
34.2	34.2	43.2	25.4	32.8	27.6	Q2PPJ7	Ral GTPase-activating protein subunit alpha-2 OS=Homo sapiens GN=RALGAPA2 PE=1 SV=2	RALGAPA2
99.7	98.4	92.6	74.2	94.8	84.2	Q8IYK4	Procollagen galactosyltransferase 2 OS=Homo sapiens GN=COLGALT2 PE=1 SV=1	COLGALT2
1013.6	978.7	997	755.7	782	778.3	Q8TED4-2	Isoform 2 of Sugar phosphate exchanger 2 OS=Homo sapiens GN=SLC37A2	SLC37A2
39.7	47.5	48	29.7	50.2	39	H7C4P4	U2 snRNP-associated SURP motif-containing protein (Fragment) OS=Homo sapiens GN=U2SURP PE=1 SV=1	U2SURP
572.7	540.4	555.3	428.2	414.7	420.3	Q96DC9	Ubiquitin thioesterase OTUB2 OS=Homo sapiens GN=OTUB2 PE=1 SV=2	OTUB2
12125.4	11982	12064.2	9098.9	9589.1	9142.1	O94808	Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 2 OS=Homo sapiens GN=GFPT2 PE=1 SV=3	GFPT2
138.9	147.3	134.3	104.3	110.9	108.9	Q13228-4	Isoform 4 of Selenium-binding protein 1 OS=Homo sapiens GN=SELENBP1	SELENBP1
118.1	123	105.2	89	108.3	105.3	P42568	Protein AF-9 OS=Homo sapiens GN=MLLT3 PE=1 SV=2	MLLT3
499.8	502.2	450.8	377.3	436.7	413.3	O15265-2	Isoform b of Ataxin-7 OS=Homo sapiens GN=ATXN7	ATXN7
72.4	69.9	69.7	54.7	61.9	59.4	B7Z1P2	F-box only protein 44 OS=Homo sapiens GN=FBXO44 PE=2 SV=1	FBXO44
965.9	958.6	931.1	729.7	762.9	741.9	Q8WVJ2	NudC domain-containing protein 2 OS=Homo sapiens GN=NUDCD2 PE=1 SV=1	NUDCD2
1046.6	1102	1035.5	791.5	816.9	816.7	Q9C037	Tripartite motif-containing protein 4 OS=Homo sapiens GN=TRIM4 PE=2 SV=2	TRIM4
63.1	56	58.1	47.8	48.4	49.9	I3L4N8	"Actin, cytoplasmic 2 (Fragment) OS=Homo sapiens GN=ACTG1 PE=1 SV=3"	ACTG1
526.9	536.8	500.7	399.3	403.2	410.7	Q17R98	Zinc finger protein 827 OS=Homo sapiens GN=ZNF827 PE=2 SV=1	ZNF827
66.2	67.6	64.1	50.2	48	44.1	Q5TBA9	Protein furry homolog OS=Homo sapiens GN=FRY PE=1 SV=1	FRY
3502.6	3316.3	3237.2	2664.7	2793.3	2744.3	Q9Y5V0	Zinc finger protein 706 OS=Homo sapiens GN=ZNF706 PE=1 SV=1	ZNF706
538.9	469.4	483.8	410	430.1	424.9	H7BYJ3	Citron Rho-interacting kinase (Fragment) OS=Homo sapiens GN=CIT PE=1 SV=1	CIT
5824.7	5752.6	5685.1	4441.8	4497.5	4336.2	Q8TEM1	Nuclear pore membrane glycoprotein 210 OS=Homo sapiens GN=NUP210 PE=1 SV=3	NUP210
961.3	850.8	867.8	733.6	766.3	715	Q6XUX3	Dual serine/threonine and tyrosine protein kinase OS=Homo sapiens GN=DSTYK PE=1 SV=2	DSTYK
72.7	72.3	66.3	55.5	81	67.5	P07910	Heterogeneous nuclear ribonucleoproteins C1/C2 OS=Homo sapiens GN=HNRNPC PE=1 SV=4	HNRNPC
89	80.3	93.2	68	61.3	51.8	Q96N03	V-set and transmembrane domain-containing protein 2-like protein OS=Homo sapiens GN=VSTM2L PE=1 SV=1	VSTM2L
722	836.1	695.5	552	616.8	592	P13284	Gamma-interferon-inducible lysosomal thiol reductase OS=Homo sapiens GN=IFI30 PE=1 SV=3	IFI30
277.7	271.9	243.9	212.5	229.4	237	Q8TER5	Rho guanine nucleotide exchange factor 40 OS=Homo sapiens GN=ARHGEF40 PE=1 SV=3	ARHGEF40
1556.6	1522.1	1580.4	1192.8	1214.8	1200.5	Q9Y547	Intraflagellar transport protein 25 homolog OS=Homo sapiens GN=HSPB11 PE=1 SV=1	HSPB11
1247	1123.2	1060	955.6	1085	1043.3	Q9BT92	Trichoplein keratin filament-binding protein OS=Homo sapiens GN=TCHP PE=1 SV=1	TCHP
4763.6	4953.2	4552.9	3659.9	4291.9	4157	Q9UPT8	Zinc finger CCCH domain-containing protein 4 OS=Homo sapiens GN=ZC3H4 PE=1 SV=3	ZC3H4
4875.3	4919.9	4712.7	3746.1	4253.8	4029.8	Q9Y5P4-3	Isoform 3 of Collagen type IV alpha-3-binding protein OS=Homo sapiens GN=COL4A3BP	COL4A3BP
99	99.1	94	76.2	95.1	88.4	E5RK27	Voltage-dependent anion-selective channel protein 3 (Fragment) OS=Homo sapiens GN=VDAC3 PE=1 SV=1	VDAC3
1402.3	1377.1	1485.6	1079.7	1073.1	1036.8	Q16719	Kynureninase OS=Homo sapiens GN=KYNU PE=1 SV=1	KYNU
3530.7	4333.9	3267.8	2720.4	2799.8	2896.9	Q969P6	"DNA topoisomerase I, mitochondrial OS=Homo sapiens GN=TOP1MT PE=1 SV=1"	TOP1MT
1414.6	1395.6	1332.5	1090	1356.3	1260.1	Q8TE02-4	Isoform 4 of Elongator complex protein 5 OS=Homo sapiens GN=ELP5	ELP5
345.8	351.1	359.6	266.5	350.1	313.9	D6RAN1	PDZ and LIM domain protein 7 (Fragment) OS=Homo sapiens GN=PDLIM7 PE=1 SV=1	PDLIM7
4934.2	4834.1	4866	3803.5	3874.5	3817.9	P13928	Annexin A8 OS=Homo sapiens GN=ANXA8 PE=1 SV=3	ANXA8
105.1	91.4	81.4	81	92.6	84.7	P33908	"Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA OS=Homo sapiens GN=MAN1A1 PE=1 SV=3"	MAN1A1
1322.9	1319.4	1346.3	1020.9	1026.4	1016.2	P79483	"HLA class II histocompatibility antigen, DR beta 3 chain OS=Homo sapiens GN=HLA-DRB3 PE=1 SV=1"	HLA-DRB3
195.6	193.2	180.1	151	170	158.5	Q8TB24	Ras and Rab interactor 3 OS=Homo sapiens GN=RIN3 PE=1 SV=4	RIN3
1684	1803.1	1696.1	1301.6	1710.5	1467.4	Q15125	"3-beta-hydroxysteroid-Delta(8),Delta(7)-isomerase OS=Homo sapiens GN=EBP PE=1 SV=3"	EBP
1247.4	1214.4	1247	965.6	1030.3	978.6	P47895	Aldehyde dehydrogenase family 1 member A3 OS=Homo sapiens GN=ALDH1A3 PE=1 SV=2	ALDH1A3
93.8	96.8	91.8	72.7	99.7	89.6	Q6ZUX7	Lipoma HMGIC fusion partner-like 2 protein OS=Homo sapiens GN=LHFPL2 PE=2 SV=2	LHFPL2
497.5	434.8	439.3	385.5	385.4	406.6	P31146	Coronin-1A OS=Homo sapiens GN=CORO1A PE=1 SV=4	CORO1A
1409.5	1436	1326.1	1093.3	1011.1	1081.9	Q86YA3	Protein ZGRF1 OS=Homo sapiens GN=ZGRF1 PE=2 SV=3	ZGRF1
365.9	410.5	352.4	284.3	406.1	346	Q9BRK4	Leucine zipper putative tumor suppressor 2 OS=Homo sapiens GN=LZTS2 PE=1 SV=2	LZTS2
45.3	47.3	39.8	35.2	37.1	37.5	G3V1S3	DENN domain-containing protein 5B OS=Homo sapiens GN=DENND5B PE=1 SV=1	DENND5B
292.5	341	277.7	227.3	268.3	263.7	Q9BWU1	Cyclin-dependent kinase 19 OS=Homo sapiens GN=CDK19 PE=1 SV=1	CDK19
92	93.6	91.2	71.6	85.6	85.5	P20336	Ras-related protein Rab-3A OS=Homo sapiens GN=RAB3A PE=1 SV=1	RAB3A
1268.7	1238.6	1156.9	987.1	1050	1060.9	P63211	Guanine nucleotide-binding protein G(T) subunit gamma-T1 OS=Homo sapiens GN=GNGT1 PE=2 SV=2	GNGT1
36.2	32.7	28.7	28.3	34	27.8	Q7Z3V4	Ubiquitin-protein ligase E3B OS=Homo sapiens GN=UBE3B PE=1 SV=3	UBE3B
70.2	63.7	56.6	55	60.6	61.7	O75914-3	Isoform 3 of Serine/threonine-protein kinase PAK 3 OS=Homo sapiens GN=PAK3	PAK3
5711.9	5887.5	5529.5	4474.9	5160.7	4859.1	H0YL18	Beta-2-microglobulin form pI 5.3 OS=Homo sapiens GN=B2M PE=1 SV=1	B2M
3128.8	3139.1	3165.3	2452.7	2570.1	2458.5	P14923	Junction plakoglobin OS=Homo sapiens GN=JUP PE=1 SV=3	JUP
1311	1268.4	1243.4	1028.3	1216.2	1113.4	Q9NRW3	DNA dC->dU-editing enzyme APOBEC-3C OS=Homo sapiens GN=APOBEC3C PE=1 SV=2	APOBEC3C
580.5	578.4	569.1	456.8	523	488.6	P30622-2	Isoform 3 of CAP-Gly domain-containing linker protein 1 OS=Homo sapiens GN=CLIP1	CLIP1
2643.2	2465.9	2590.9	2080.5	2032.3	2053.2	R4GMX3	Protein COMMD3-BMI1 OS=Homo sapiens GN=COMMD3-BMI1 PE=4 SV=1	COMMD3-BMI1
281.8	279.7	254.8	221.8	295.9	269.5	Q7Z401-2	Isoform 2 of C-myc promoter-binding protein OS=Homo sapiens GN=DENND4A	DENND4A
306.2	329.6	307.9	241	303.3	285.5	Q6ZU80	Centrosomal protein of 128 kDa OS=Homo sapiens GN=CEP128 PE=1 SV=2	CEP128
782	842	731	615.6	663.6	631.2	Q8N2G6	Zinc finger CCHC domain-containing protein 24 OS=Homo sapiens GN=ZCCHC24 PE=1 SV=1	ZCCHC24
43.2	37.6	37.5	34	35.5	37.2	H0YDN1	Plectin (Fragment) OS=Homo sapiens GN=PLEC PE=1 SV=3	PLEC
118.5	118.5	108.7	93.4	103.5	92.5	Q04912	Macrophage-stimulating protein receptor OS=Homo sapiens GN=MST1R PE=1 SV=2	MST1R
3457.2	3448.5	3188.4	2730.3	2845.4	2830.7	P28065	Proteasome subunit beta type-9 OS=Homo sapiens GN=PSMB9 PE=1 SV=2	PSMB9
127.6	117.6	116.5	100.9	103.4	98.7	Q9HCJ0-2	Isoform 2 of Trinucleotide repeat-containing gene 6C protein OS=Homo sapiens GN=TNRC6C	TNRC6C
47	50	46.2	37.2	40	42.7	Q15562-4	Isoform 4 of Transcriptional enhancer factor TEF-4 OS=Homo sapiens GN=TEAD2	TEAD2
2781.4	2818	2721.8	2206.6	2354.6	2221	P32456	Interferon-induced guanylate-binding protein 2 OS=Homo sapiens GN=GBP2 PE=1 SV=3	GBP2
24651.3	24134.5	24246.5	19564.5	20169.9	20136.3	P06703	Protein S100-A6 OS=Homo sapiens GN=S100A6 PE=1 SV=1	S100A6
150.1	157.5	142.2	119.2	140.3	120.5	Q9HA72	Calcium homeostasis modulator protein 2 OS=Homo sapiens GN=CALHM2 PE=2 SV=1	CALHM2
221.2	204.3	210.8	176	201.1	192	Q99952	Tyrosine-protein phosphatase non-receptor type 18 OS=Homo sapiens GN=PTPN18 PE=1 SV=2	PTPN18
1333.3	1397.2	1321.7	1061.3	1338.7	1176.2	Q6ZMZ3	Nesprin-3 OS=Homo sapiens GN=SYNE3 PE=1 SV=2	SYNE3
347.6	320.1	329.1	276.8	296.5	278.9	Q9H8T0-2	Isoform 2 of AKT-interacting protein OS=Homo sapiens GN=AKTIP	AKTIP
46.3	49.1	47.3	36.9	42.7	38.3	Q86X53	Glutamate-rich protein 1 OS=Homo sapiens GN=ERICH1 PE=1 SV=1	ERICH1
121.6	129.7	108.2	97.1	120.9	106.7	Q6NUN9-2	Isoform 2 of Zinc finger protein 746 OS=Homo sapiens GN=ZNF746	ZNF746
885.6	896.1	835	707.7	801.4	741.1	Q765P7	MTSS1-like protein OS=Homo sapiens GN=MTSS1L PE=1 SV=1	MTSS1L
57.6	55.9	51.5	46.1	51.1	39.9	O43187	Interleukin-1 receptor-associated kinase-like 2 OS=Homo sapiens GN=IRAK2 PE=1 SV=2	IRAK2
740.1	795	723.5	592.2	774.4	673.9	Q9NX61	Transmembrane protein 161A OS=Homo sapiens GN=TMEM161A PE=2 SV=1	TMEM161A
278.9	283.1	268.9	223.2	211.5	217.3	E9PPM1	Tumor protein p53-inducible protein 11 OS=Homo sapiens GN=TP53I11 PE=1 SV=1	TP53I11
3450.4	3458.4	3466.4	2763.5	2995.9	2838.9	P58546	Myotrophin OS=Homo sapiens GN=MTPN PE=1 SV=2	MTPN
553.8	605.7	527.2	444.2	522.7	482	Q8IWF6	Protein DENND6A OS=Homo sapiens GN=DENND6A PE=1 SV=1	DENND6A
12624	12679.2	12479.1	10132.1	9896.2	10053.5	P22676	Calretinin OS=Homo sapiens GN=CALB2 PE=1 SV=2	CALB2
285.9	264.6	278.1	229.5	253.7	224.5	Q8NC51-2	Isoform 2 of Plasminogen activator inhibitor 1 RNA-binding protein OS=Homo sapiens GN=SERBP1	SERBP1
1050	1117.8	1018.1	843	1048.4	947.8	Q9H0L4	Cleavage stimulation factor subunit 2 tau variant OS=Homo sapiens GN=CSTF2T PE=1 SV=1	CSTF2T
832.2	855.9	780.8	668.5	767.3	755.8	O14545	TRAF-type zinc finger domain-containing protein 1 OS=Homo sapiens GN=TRAFD1 PE=1 SV=1	TRAFD1
1131	1095.7	1061.6	908.6	1013	959.2	Q9UKI8	Serine/threonine-protein kinase tousled-like 1 OS=Homo sapiens GN=TLK1 PE=1 SV=2	TLK1
291.7	279.9	282	234.5	264	255.5	O76054	SEC14-like protein 2 OS=Homo sapiens GN=SEC14L2 PE=1 SV=1	SEC14L2
490.6	483	485.5	394.4	439.8	432.1	Q7Z6M3	Allergin-1 OS=Homo sapiens GN=MILR1 PE=1 SV=2	MILR1
1326.2	1245.5	1263.3	1067.4	1078.4	1089.2	Q9BYT3	Serine/threonine-protein kinase 33 OS=Homo sapiens GN=STK33 PE=1 SV=1	STK33
478.3	469.7	447.3	385	427.1	423.1	H0YL53	Protein regulator of cytokinesis 1 (Fragment) OS=Homo sapiens GN=PRC1 PE=1 SV=1	PRC1
82.5	70	65.2	66.4	80.1	63.1	P35789	Zinc finger protein 93 OS=Homo sapiens GN=ZNF93 PE=2 SV=4	ZNF93
126.6	115.2	114.9	102	112.6	103.3	Q96MT1-5	Isoform 5 of RING finger protein 145 OS=Homo sapiens GN=RNF145	RNF145
968.1	918.3	970.5	779.7	883.1	861	Q9H4A5	Golgi phosphoprotein 3-like OS=Homo sapiens GN=GOLPH3L PE=1 SV=1	GOLPH3L
375.9	389.2	378.4	302.8	342.4	343.1	Q5VTQ0	Tetratricopeptide repeat protein 39B OS=Homo sapiens GN=TTC39B PE=2 SV=4	TTC39B
1441.8	1439.8	1369.4	1161.5	1329.2	1279.9	Q9NYI0	PH and SEC7 domain-containing protein 3 OS=Homo sapiens GN=PSD3 PE=1 SV=2	PSD3
713.6	693.1	673.2	575	706.2	623.1	Q9BWG4	Single-stranded DNA-binding protein 4 OS=Homo sapiens GN=SSBP4 PE=1 SV=1	SSBP4
556.7	593	606.8	448.8	577.5	513.3	Q9Y4E8-3	Isoform 3 of Ubiquitin carboxyl-terminal hydrolase 15 OS=Homo sapiens GN=USP15	USP15
6088.1	6055.2	6130.2	4928.1	5060.1	4890.2	Q92597	Protein NDRG1 OS=Homo sapiens GN=NDRG1 PE=1 SV=1	NDRG1
18	14.6	15.1	14.6	14.4	11.5	P48380	Transcription factor RFX3 OS=Homo sapiens GN=RFX3 PE=1 SV=2	RFX3
4333.1	4310	4294.9	3511.1	3638.1	3584.2	Q6VMQ6-4	Isoform 3 of Activating transcription factor 7-interacting protein 1 OS=Homo sapiens GN=ATF7IP	ATF7IP
2106.8	2009.2	1967.2	1709.5	1891.9	1822.2	Q99871-2	Isoform 2 of HAUS augmin-like complex subunit 7 OS=Homo sapiens GN=HAUS7	HAUS7
1640.6	1623.9	1552.6	1331.6	1360.8	1362	P61457	Pterin-4-alpha-carbinolamine dehydratase OS=Homo sapiens GN=PCBD1 PE=1 SV=2	PCBD1
287.9	291.8	258.5	233.8	248.5	238.8	Q16667	Cyclin-dependent kinase inhibitor 3 OS=Homo sapiens GN=CDKN3 PE=1 SV=1	CDKN3
139	146.1	126.3	113	133.6	136.1	Q8TBE0	Bromo adjacent homology domain-containing 1 protein OS=Homo sapiens GN=BAHD1 PE=1 SV=2	BAHD1
304.7	294.2	295.4	248	287.9	279.1	P0C7T5	Ataxin-1-like OS=Homo sapiens GN=ATXN1L PE=1 SV=1	ATXN1L
729.2	780.8	720.1	593.6	717.3	645.2	Q9BSL1	Ubiquitin-associated domain-containing protein 1 OS=Homo sapiens GN=UBAC1 PE=1 SV=1	UBAC1
4368.7	4457.6	4313.2	3558.3	3785	3743	P0DJI9	Serum amyloid A-2 protein OS=Homo sapiens GN=SAA2 PE=1 SV=1	SAA2
3497.8	3323.8	3299.9	2851.5	2843.4	3160.8	P04080	Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2	CSTB
358.6	324.9	322.9	292.4	321.2	297.7	P36959	GMP reductase 1 OS=Homo sapiens GN=GMPR PE=1 SV=1	GMPR
93.6	84.2	90.1	76.4	95.6	98.2	Q9BW83	Intraflagellar transport protein 27 homolog OS=Homo sapiens GN=IFT27 PE=1 SV=1	IFT27
222.1	209.3	214.6	181.4	183.9	197.9	Q969K7	Transmembrane protein 54 OS=Homo sapiens GN=TMEM54 PE=2 SV=1	TMEM54
870.9	848.7	878.5	711.6	760.7	709.3	P09914	Interferon-induced protein with tetratricopeptide repeats 1 OS=Homo sapiens GN=IFIT1 PE=1 SV=2	IFIT1
771.3	714.7	767.8	630.9	585.3	611.2	Q96N46	Tetratricopeptide repeat protein 14 OS=Homo sapiens GN=TTC14 PE=1 SV=1	TTC14
2332.2	2269.1	2286.9	1907.7	2145.9	2054.2	P20908	Collagen alpha-1(V) chain OS=Homo sapiens GN=COL5A1 PE=1 SV=3	COL5A1
262.4	253.8	261	214.7	276.1	238.9	Q16610-4	Isoform 4 of Extracellular matrix protein 1 OS=Homo sapiens GN=ECM1	ECM1
399.3	420	406.5	326.7	364.3	332.3	Q9BUW7	UPF0184 protein C9orf16 OS=Homo sapiens GN=C9orf16 PE=1 SV=1	C9orf16
27.6	30.3	27.1	22.6	28.4	30.7	Q9NRM2	Zinc finger protein 277 OS=Homo sapiens GN=ZNF277 PE=1 SV=2	ZNF277
2277.5	2293.4	2135.7	1867.5	2065.7	1975.2	O14730	Serine/threonine-protein kinase RIO3 OS=Homo sapiens GN=RIOK3 PE=1 SV=2	RIOK3
23.1	18.1	18.8	19	17.2	19.4	Q9BXL8	Cell division cycle-associated protein 4 OS=Homo sapiens GN=CDCA4 PE=1 SV=1	CDCA4
344.2	322.5	312	282.6	321.7	309.9	Q9H477	Ribokinase OS=Homo sapiens GN=RBKS PE=1 SV=1	RBKS
6826.2	6687.5	6480.1	5610.5	5775.9	5628.6	Q9Y2S6	Translation machinery-associated protein 7 OS=Homo sapiens GN=TMA7 PE=1 SV=1	TMA7
3656.1	3556.1	3581.8	3008.5	2974.6	3010.1	P55287	Cadherin-11 OS=Homo sapiens GN=CDH11 PE=1 SV=2	CDH11
368.1	360.2	349.7	303.2	342.6	335.5	Q9Y2Y0	ADP-ribosylation factor-like protein 2-binding protein OS=Homo sapiens GN=ARL2BP PE=1 SV=1	ARL2BP
3570.2	3494.8	3565.5	2941.1	3083.2	3128.6	Q13526	Peptidyl-prolyl cis-trans isomerase NIMA-interacting 1 OS=Homo sapiens GN=PIN1 PE=1 SV=1	PIN1
