"Checked"	"Protein FDR Confidence: Combined"	"Master"	"Accession"	"Description"	"Exp. q-value: Combined"	"Contaminant"	"Marked as"	"Sum PEP Score"	"Coverage [%]"	"# Peptides"	"# PSMs"	"# Unique Peptides"	"# Protein Groups"	"# AAs"	"MW [kDa]"	"calc. pI"	"Score Sequest HT: Sequest HT"	"# Peptides (by Search Engine): Sequest HT"	"# Razor Peptides"	"Abundance Ratio: (F1, 126) / (F1, 128C)"	"Abundance Ratio: (F1, 127N) / (F1, 129C)"	"Abundance Ratio: (F1, 127C) / (F1, 130N)"	"Abundance Ratio: (F1, 128N) / (F1, 130C)"	"Abundance Ratio: (F1, 129N) / (F1, 131)"	"Abundances (Normalized): F1: 126, Sample, A2, n/a"	"Abundances (Normalized): F1: 127N, Sample, A3, n/a"	"Abundances (Normalized): F1: 127C, Sample, A4, n/a"	"Abundances (Normalized): F1: 128N, Sample, A5, n/a"	"Abundances (Normalized): F1: 128C, Sample, n/a, P1"	"Abundances (Normalized): F1: 129N, Sample, A6, n/a"	"Abundances (Normalized): F1: 129C, Sample, n/a, P2"	"Abundances (Normalized): F1: 130N, Sample, n/a, P4"	"Abundances (Normalized): F1: 130C, Sample, n/a, P5"	"Abundances (Normalized): F1: 131, Sample, n/a, P6"	"Abundance: F1: 126, Sample, A2, n/a"	"Abundance: F1: 127N, Sample, A3, n/a"	"Abundance: F1: 127C, Sample, A4, n/a"	"Abundance: F1: 128N, Sample, A5, n/a"	"Abundance: F1: 128C, Sample, n/a, P1"	"Abundance: F1: 129N, Sample, A6, n/a"	"Abundance: F1: 129C, Sample, n/a, P2"	"Abundance: F1: 130N, Sample, n/a, P4"	"Abundance: F1: 130C, Sample, n/a, P5"	"Abundance: F1: 131, Sample, n/a, P6"	"Found in Sample: [S1] F1: 126, Sample, A2, n/a"	"Found in Sample: [S2] F1: 127N, Sample, A3, n/a"	"Found in Sample: [S3] F1: 127C, Sample, A4, n/a"	"Found in Sample: [S4] F1: 128N, Sample, A5, n/a"	"Found in Sample: [S5] F1: 128C, Sample, n/a, P1"	"Found in Sample: [S6] F1: 129N, Sample, A6, n/a"	"Found in Sample: [S7] F1: 129C, Sample, n/a, P2"	"Found in Sample: [S8] F1: 130N, Sample, n/a, P4"	"Found in Sample: [S9] F1: 130C, Sample, n/a, P5"	"Found in Sample: [S10] F1: 131, Sample, n/a, P6"	"Modifications"
"False"	"High"	"IsMasterProtein"	"Q13813-2"	"Isoform 2 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1"	"0.000"	"False"	"Human"	"1509.689"	"70"	"162"	"1306"	"4"	"1"	"2477"	"284.9"	"5.35"	"4596.74"	"162"	"169"	"0.996"	"0.821"	"1.088"	"1.434"	"1.703"	"90802.4"	"110163.1"	"78923.9"	"131622.2"	"91165.4"	"126615.2"	"134168.2"	"72548.9"	"91761.6"	"74327.9"	"90802.4"	"91884.0"	"70168.1"	"115465.3"	"61687.5"	"98537.8"	"109144.8"	"60852.7"	"84879.7"	"64307.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q13813-3"	"Isoform 3 of Spectrin alpha chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTAN1"	"0.000"	"False"	"Human"	"1503.334"	"70"	"160"	"1289"	"2"	"1"	"2452"	"282.1"	"5.34"	"4546.93"	"160"	"0"	"1.157"	"1.293"	"0.852"	"1.198"	"0.718"	"1678.4"	"929.5"	"1173.7"	"2494.5"	"1450.6"	"1201.9"	"718.9"	"1377.3"	"2081.6"	"1674.2"	"1678.4"	"775.2"	"1043.5"	"2188.3"	"981.6"	"935.4"	"584.8"	"1155.3"	"1925.5"	"1448.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q14204"	"Cytoplasmic dynein 1 heavy chain 1 OS=Homo sapiens GN=DYNC1H1 PE=1 SV=5"	"0.000"	"False"	"Human"	"1405.264"	"49"	"195"	"896"	"194"	"1"	"4646"	"532.1"	"6.40"	"2748.68"	"195"	"1"	"1.190"	"1.321"	"0.888"	"1.489"	"1.796"	"55695.6"	"87127.6"	"47247.2"	"76225.8"	"46808.8"	"90500.3"	"65975.5"	"53227.7"	"51200.0"	"50382.5"	"55695.6"	"72670.8"	"42005.6"	"66868.9"	"31673.4"	"70431.6"	"53670.6"	"44646.4"	"47360.1"	"43590.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"O75369-8"	"Isoform 8 of Filamin-B OS=Homo sapiens GN=FLNB"	"0.000"	"False"	"Human"	"1267.945"	"64"	"123"	"810"	"108"	"1"	"2633"	"281.5"	"5.71"	"2744.44"	"123"	"4"	"1.000"	"1.056"	"0.878"	"0.433"	"0.638"	"64845.2"	"35018.8"	"61428.7"	"30337.0"	"64869.8"	"40661.5"	"33170.7"	"69975.6"	"70040.8"	"63713.9"	"64845.2"	"29208.2"	"54613.9"	"26613.1"	"43894.4"	"31644.7"	"26984.1"	"58694.2"	"64787.9"	"55124.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q01082"	"Spectrin beta chain, non-erythrocytic 1 OS=Homo sapiens GN=SPTBN1 PE=1 SV=2"	"0.000"	"False"	"Human"	"1263.542"	"68"	"143"	"1087"	"131"	"1"	"2364"	"274.4"	"5.57"	"3356.67"	"143"	"12"	"1.167"	"0.725"	"1.074"	"1.570"	"1.684"	"64718.1"	"73972.9"	"51497.5"	"100472.5"	"55433.1"	"85273.3"	"101980.5"	"47959.8"	"64002.9"	"50625.4"	"64718.1"	"61698.8"	"45784.4"	"88139.3"	"37509.0"	"66363.7"	"82960.4"	"40227.8"	"59202.8"	"43800.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P02751"	"Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4"	"0.000"	"False"	"Human"	"1104.498"	"56"	"89"	"1119"	"3"	"1"	"2386"	"262.5"	"5.71"	"4117.72"	"89"	"93"	"0.969"	"0.569"	"0.782"	"1.274"	"0.630"	"44338.0"	"45492.2"	"69681.0"	"143693.0"	"45752.0"	"56011.8"	"80000.8"	"89146.3"	"112752.6"	"88931.3"	"44338.0"	"37943.8"	"61950.6"	"126054.4"	"30958.3"	"43591.0"	"65080.0"	"74774.2"	"104296.4"	"76942.3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P02751-10"	"Isoform 10 of Fibronectin OS=Homo sapiens GN=FN1"	"0.000"	"False"	"Human"	"1081.100"	"61"	"87"	"1088"	"1"	"1"	"2176"	"239.5"	"5.88"	"3985.24"	"87"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q9NZM1-6"	"Isoform 6 of Myoferlin OS=Homo sapiens GN=MYOF"	"0.000"	"False"	"Human"	"1041.569"	"66"	"114"	"921"	"112"	"1"	"2048"	"233.3"	"6.21"	"2834.49"	"114"	"2"	"0.337"	"0.621"	"0.559"	"0.687"	"0.394"	"40219.2"	"30563.9"	"50608.1"	"65706.6"	"119353.2"	"30630.3"	"49191.9"	"90532.1"	"95628.7"	"77763.6"	"40219.2"	"25492.5"	"44993.6"	"57641.0"	"80760.9"	"23838.0"	"40017.3"	"75936.7"	"88456.7"	"67280.1"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"A0A087WVQ6"	"Clathrin heavy chain 1 OS=Homo sapiens GN=CLTC PE=1 SV=1"	"0.000"	"False"	"Human"	"1017.593"	"63"	"81"	"1027"	"81"	"1"	"1679"	"191.9"	"5.69"	"3748.23"	"81"	"0"	"0.788"	"1.500"	"0.638"	"0.791"	"1.011"	"52725.8"	"71746.9"	"49501.5"	"62089.1"	"66944.7"	"75178.8"	"47821.2"	"77571.4"	"78487.3"	"74392.2"	"52725.8"	"59842.1"	"44009.8"	"54467.5"	"45298.4"	"58507.6"	"38902.2"	"65065.4"	"72600.9"	"64363.3"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P02768-1"	"SWISS-PROT:P02768-1 Tax_Id=9606 Gene_Symbol=ALB Isoform 1 of Serum albumin precursor"	"0.000"	"True"	"Human"	"996.920"	"87"	"67"	"2750"	"62"	"1"	"609"	"69.3"	"6.28"	"10330.11"	"67"	"5"	"7.963"	"0.980"	"0.296"	"1.508"	"0.678"	"762335.9"	"186431.8"	"161027.8"	"157392.1"	"95730.0"	"294562.0"	"190146.1"	"543523.7"	"104403.7"	"434478.7"	"762335.9"	"155497.7"	"143163.4"	"138071.9"	"64776.2"	"229241.8"	"154682.4"	"455897.6"	"96573.6"	"375905.8"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P35580-4"	"Isoform 4 of Myosin-10 OS=Homo sapiens GN=MYH10"	"0.000"	"False"	"Human"	"995.447"	"60"	"123"	"1055"	"2"	"1"	"2007"	"232.4"	"5.55"	"3408.68"	"123"	"112"	"1.246"	"1.257"	"0.603"	"0.756"	"1.074"	"47874.4"	"37021.3"	"29348.0"	"39459.2"	"38428.9"	"49219.8"	"29442.1"	"48696.5"	"52204.2"	"45847.8"	"47874.4"	"30878.5"	"26092.2"	"34615.5"	"26003.1"	"38305.1"	"23941.5"	"40845.7"	"48289.0"	"39667.0"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P35580-3"	"Isoform 3 of Myosin-10 OS=Homo sapiens GN=MYH10"	"0.000"	"False"	"Human"	"993.924"	"59"	"122"	"1058"	"2"	"1"	"1997"	"231.2"	"5.53"	"3415.35"	"122"	"0"	"0.625"	"1.131"	"0.443"	"0.738"	"0.871"	"234.8"	"323.9"	"228.8"	"434.4"	"375.9"	"414.7"	"286.4"	"517.0"	"588.2"	"475.8"	"234.8"	"270.2"	"203.5"	"381.0"	"254.3"	"322.7"	"232.9"	"433.7"	"544.1"	"411.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P35580-5"	"Isoform 5 of Myosin-10 OS=Homo sapiens GN=MYH10"	"0.000"	"False"	"Human"	"989.438"	"60"	"122"	"1052"	"1"	"1"	"1985"	"229.9"	"5.57"	"3398.11"	"122"	"0"	"2.706"	"1.961"	"2.035"	"1.970"	"2.977"	"101.7"	"51.4"	"60.5"	"45.5"	"37.6"	"70.9"	"26.2"	"29.7"	"23.1"	"23.8"	"101.7"	"42.8"	"53.8"	"39.9"	"25.4"	"55.2"	"21.3"	"24.9"	"21.4"	"20.6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P04114"	"Apolipoprotein B-100 OS=Homo sapiens GN=APOB PE=1 SV=2"	"0.000"	"False"	"Human"	"955.019"	"39"	"147"	"533"	"147"	"1"	"4563"	"515.3"	"7.05"	"1549.93"	"147"	"0"	"2.034"	"1.233"	"0.580"	"1.105"	"0.281"	"47472.5"	"28123.0"	"19926.0"	"38139.3"	"23340.5"	"25761.2"	"22813.2"	"34371.4"	"34524.5"	"91522.3"	"47472.5"	"23456.7"	"17715.4"	"33457.6"	"15793.5"	"20048.5"	"18558.3"	"28830.1"	"31935.2"	"79184.0"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P46940"	"Ras GTPase-activating-like protein IQGAP1 OS=Homo sapiens GN=IQGAP1 PE=1 SV=1"	"0.000"	"False"	"Human"	"932.029"	"62"	"83"	"911"	"80"	"1"	"1657"	"189.1"	"6.48"	"3349.11"	"83"	"5"	"0.405"	"1.088"	"0.517"	"0.567"	"0.423"	"45668.8"	"38845.9"	"44540.3"	"50108.5"	"112740.7"	"36310.4"	"35713.6"	"86179.7"	"88333.8"	"85798.2"	"45668.8"	"32400.3"	"39599.0"	"43957.6"	"76286.5"	"28258.4"	"29052.7"	"72286.0"	"81709.0"	"74231.6"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q99715"	"Collagen alpha-1(XII) chain OS=Homo sapiens GN=COL12A1 PE=1 SV=2"	"0.000"	"False"	"Human"	"896.068"	"49"	"112"	"741"	"112"	"1"	"3063"	"332.9"	"5.53"	"2334.62"	"112"	"0"	"1.276"	"1.229"	"0.429"	"0.770"	"0.768"	"40964.3"	"39692.7"	"28041.9"	"57564.9"	"32099.6"	"39305.2"	"32293.8"	"65299.0"	"74719.6"	"51156.3"	"40964.3"	"33106.6"	"24931.0"	"50498.7"	"21720.4"	"30589.1"	"26270.7"	"54771.6"	"69115.8"	"44259.8"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"Q9Y490"	"Talin-1 OS=Homo sapiens GN=TLN1 PE=1 SV=3"	"0.000"	"False"	"Human"	"894.387"	"57"	"108"	"500"	"93"	"1"	"2541"	"269.6"	"6.07"	"1700.92"	"108"	"16"	"0.980"	"1.165"	"0.772"	"1.484"	"1.387"	"27133.7"	"41248.1"	"24211.1"	"52981.1"	"27687.9"	"46733.3"	"35414.2"	"31369.9"	"35705.0"	"33691.5"	"27133.7"	"34403.9"	"21525.1"	"46477.6"	"18735.2"	"36370.0"	"28809.2"	"26312.4"	"33027.2"	"29149.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P24821-4"	"Isoform 4 of Tenascin OS=Homo sapiens GN=TNC"	"0.000"	"False"	"Human"	"850.105"	"52"	"80"	"787"	"1"	"1"	"2110"	"230.7"	"4.91"	"2815.15"	"80"	"0"	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	""	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P24821"	"Tenascin OS=Homo sapiens GN=TNC PE=1 SV=3"	"0.000"	"False"	"Human"	"844.827"	"49"	"80"	"774"	"1"	"1"	"2201"	"240.7"	"4.89"	"2766.67"	"80"	"80"	"3.124"	"0.643"	"1.958"	"4.166"	"1.066"	"57919.6"	"32876.1"	"49494.7"	"138462.7"	"18540.3"	"27401.3"	"51124.3"	"25275.1"	"33234.1"	"25702.5"	"57919.6"	"27421.0"	"44003.8"	"121466.1"	"12542.7"	"21325.0"	"41589.2"	"21200.3"	"30741.6"	"22237.5"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P02533"	"Keratin, type I cytoskeletal 14 OS=Homo sapiens GN=KRT14 PE=1 SV=4"	"0.000"	"True"	"Human"	"817.048"	"81"	"54"	"4238"	"20"	"1"	"472"	"51.5"	"5.16"	"13981.46"	"54"	"42"	"1.335"	"1.024"	"0.871"	"0.204"	"0.247"	"564858.1"	"101275.4"	"561234.3"	"74074.7"	"423083.4"	"73834.6"	"98889.2"	"644628.5"	"363710.9"	"298802.8"	"564858.1"	"84471.0"	"498971.1"	"64981.9"	"286281.4"	"57461.5"	"80445.6"	"540702.3"	"336433.3"	"258520.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"O43707"	"Alpha-actinin-4 OS=Homo sapiens GN=ACTN4 PE=1 SV=2"	"0.000"	"False"	"Human"	"787.810"	"71"	"63"	"1248"	"32"	"1"	"911"	"104.8"	"5.44"	"4466.47"	"63"	"33"	"1.068"	"0.923"	"0.636"	"0.846"	"0.490"	"115738.4"	"50643.5"	"76596.9"	"90106.0"	"108355.9"	"53249.6"	"54849.9"	"120521.2"	"106562.4"	"108736.4"	"115738.4"	"42240.4"	"68099.2"	"79045.3"	"73319.5"	"41441.3"	"44620.0"	"101090.9"	"98570.4"	"94077.4"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P13647"	"SWISS-PROT:P13647 Tax_Id=9606 Gene_Symbol=KRT5 Keratin, type II cytoskeletal 5"	"0.000"	"True"	"Human"	"784.084"	"67"	"67"	"5540"	"5"	"1"	"590"	"62.3"	"7.74"	"15592.26"	"67"	"79"	"0.962"	"1.016"	"0.865"	"0.184"	"0.166"	"773364.7"	"150251.4"	"631906.1"	"119519.1"	"803966.6"	"101368.7"	"147820.1"	"730364.6"	"648110.4"	"610828.6"	"773364.7"	"125320.6"	"561802.6"	"104847.9"	"544007.8"	"78889.8"	"120250.5"	"612616.1"	"599503.4"	"528481.7"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
"False"	"High"	"IsMasterProtein"	"P78527"	"DNA-dependent protein kinase catalytic subunit OS=Homo sapiens GN=PRKDC PE=1 SV=3"	"0.000"	"False"	"Human"	"779.137"	"37"	"139"	"505"	"139"	"1"	"4128"	"468.8"	"7.12"	"1395.95"	"139"	"0"	"1.789"	"1.739"	"1.248"	"1.084"	"1.808"	"45212.6"	"44480.5"	"35647.9"	"34159.9"	"25277.2"	"52482.2"	"25578.0"	"28560.7"	"31516.2"	"29029.4"	"45212.6"	"37099.9"	"31693.2"	"29966.7"	"17103.9"	"40844.1"	"20807.5"	"23956.2"	"29152.5"	"25115.9"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	"High"	""
