Entry	Entry name	Status	Protein names	Organism	Length	Gene symbol	Alias Genes
Q9Y2L8	ZKSC5_HUMAN	reviewed	Zinc finger protein with KRAB and SCAN domains 5 (Zinc finger protein 95 homolog) (Zfp-95)	Homo sapiens (Human)	839	ZKSCAN5	KIAA1015;ZFP95
Q9GZS3	WDR61_HUMAN	reviewed	WD repeat-containing protein 61 (Meiotic recombination REC14 protein homolog) (SKI8 homolog) (Ski8) [Cleaved into: WD repeat-containing protein 61, N-terminally processed]	Homo sapiens (Human)	305	WDR61	NA
Q9UJW8	ZN180_HUMAN	reviewed	Zinc finger protein 180 (HHZ168)	Homo sapiens (Human)	692	ZNF180	NA
Q2M3X9	ZN674_HUMAN	reviewed	Zinc finger protein 674	Homo sapiens (Human)	581	ZNF674	NA
Q96PQ6	ZN317_HUMAN	reviewed	Zinc finger protein 317	Homo sapiens (Human)	595	ZNF317	KIAA1588
Q9Y3M9	ZN337_HUMAN	reviewed	Zinc finger protein 337	Homo sapiens (Human)	751	ZNF337	NA
Q8NE65	ZN738_HUMAN	reviewed	Protein ZNF738	Homo sapiens (Human)	137	ZNF738	NA
B7Z6K7	ZN814_HUMAN	reviewed	Zinc finger protein 814	Homo sapiens (Human)	855	ZNF814	NA
Q14585	ZN345_HUMAN	reviewed	Zinc finger protein 345 (Zinc finger protein HZF10)	Homo sapiens (Human)	488	ZNF345	NA
Q9NQX6	ZN331_HUMAN	reviewed	Zinc finger protein 331 (C2H2-like zinc finger protein rearranged in thyroid adenomas) (Zinc finger protein 361) (Zinc finger protein 463)	Homo sapiens (Human)	463	ZNF331	RITA;ZNF361;ZNF463
P17036	ZNF3_HUMAN	reviewed	Zinc finger protein 3 (Zinc finger protein HF.12) (Zinc finger protein HZF3.1) (Zinc finger protein KOX25)	Homo sapiens (Human)	446	ZNF3	KOX25
P35443	TSP4_HUMAN	reviewed	Thrombospondin-4	Homo sapiens (Human)	961	THBS4	TSP4
O95785	WIZ_HUMAN	reviewed	Protein Wiz (Widely-interspaced zinc finger-containing protein) (Zinc finger protein 803)	Homo sapiens (Human)	1651	WIZ	ZNF803
O95859	TSN12_HUMAN	reviewed	Tetraspanin-12 (Tspan-12) (Tetraspan NET-2) (Transmembrane 4 superfamily member 12)	Homo sapiens (Human)	305	TSPAN12	NET2;TM4SF12;UNQ774/PRO1568
Q96N77	ZN641_HUMAN	reviewed	Zinc finger protein 641	Homo sapiens (Human)	438	ZNF641	NA
P35442	TSP2_HUMAN	reviewed	Thrombospondin-2	Homo sapiens (Human)	1172	THBS2	TSP2
Q6ZS27	ZN662_HUMAN	reviewed	Zinc finger protein 662	Homo sapiens (Human)	426	ZNF662	NA
Q96K58	ZN668_HUMAN	reviewed	Zinc finger protein 668	Homo sapiens (Human)	619	ZNF668	NA
P17024	ZNF20_HUMAN	reviewed	Zinc finger protein 20 (Zinc finger protein KOX13)	Homo sapiens (Human)	532	ZNF20	KOX13
P98168	ZXDA_HUMAN	reviewed	Zinc finger X-linked protein ZXDA	Homo sapiens (Human)	799	ZXDA	NA
Q7Z3U7	MON2_HUMAN	reviewed	Protein MON2 homolog (Protein SF21)	Homo sapiens (Human)	1717	MON2	KIAA1040;SF21
Q8NAT1	PMGT2_HUMAN	reviewed	Protein O-linked-mannose beta-1,4-N-acetylglucosaminyltransferase 2 (POMGnT2) (EC 2.4.1.312) (Extracellular O-linked N-acetylglucosamine transferase-like) (Glycosyltransferase-like domain-containing protein 2)	Homo sapiens (Human)	580	POMGNT2	AGO61;C3orf39;EOGTL;GTDC2
Q9Y3P9	RBGP1_HUMAN	reviewed	Rab GTPase-activating protein 1 (GAP and centrosome-associated protein) (Rab6 GTPase-activating protein GAPCenA)	Homo sapiens (Human)	1069	RABGAP1	HSPC094
Q13472	TOP3A_HUMAN	reviewed	DNA topoisomerase 3-alpha (EC 5.6.2.1) (DNA topoisomerase III alpha)	Homo sapiens (Human)	1001	TOP3A	TOP3
Q99952	PTN18_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 18 (EC 3.1.3.48) (Brain-derived phosphatase)	Homo sapiens (Human)	460	PTPN18	BDP1
Q96T37	RBM15_HUMAN	reviewed	RNA-binding protein 15 (One-twenty two protein 1) (RNA-binding motif protein 15)	Homo sapiens (Human)	977	RBM15	OTT;OTT1
P43007	SATT_HUMAN	reviewed	Neutral amino acid transporter A (Alanine/serine/cysteine/threonine transporter 1) (ASCT-1) (SATT) (Solute carrier family 1 member 4)	Homo sapiens (Human)	532	SLC1A4	ASCT1;SATT
A3KN83	SBNO1_HUMAN	reviewed	Protein strawberry notch homolog 1 (Monocyte protein 3) (MOP-3)	Homo sapiens (Human)	1393	SBNO1	MOP3
Q96IW7	SC22A_HUMAN	reviewed	Vesicle-trafficking protein SEC22a (SEC22 vesicle-trafficking protein homolog A) (SEC22 vesicle-trafficking protein-like 2)	Homo sapiens (Human)	307	SEC22A	SEC22L2
P63220	RS21_HUMAN	reviewed	40S ribosomal protein S21 (Small ribosomal subunit protein eS21)	Homo sapiens (Human)	83	RPS21	NA
O15273	TELT_HUMAN	reviewed	Telethonin (Titin cap protein)	Homo sapiens (Human)	167	TCAP	NA
Q8N616	TM148_HUMAN	reviewed	Putative uncharacterized protein encoded by LINC00311	Homo sapiens (Human)	119	LINC00311	NCRNA00311;TMEM148
Q9BSA9	TM175_HUMAN	reviewed	Endosomal/lysosomal potassium channel TMEM175 (Transmembrane protein 175) (hTMEM175)	Homo sapiens (Human)	504	TMEM175	NA
Q86T26	TM11B_HUMAN	reviewed	Transmembrane protease serine 11B (EC 3.4.21.-) (Airway trypsin-like protease 5)	Homo sapiens (Human)	416	TMPRSS11B	HATL5
Q6NUQ4	TM214_HUMAN	reviewed	Transmembrane protein 214	Homo sapiens (Human)	689	TMEM214	PP446
Q9H0V1	TM168_HUMAN	reviewed	Transmembrane protein 168	Homo sapiens (Human)	697	TMEM168	NA
Q66K66	TM198_HUMAN	reviewed	Transmembrane protein 198	Homo sapiens (Human)	360	TMEM198	NA
Q96EC8	YIPF6_HUMAN	reviewed	Protein YIPF6 (YIP1 family member 6)	Homo sapiens (Human)	236	YIPF6	NA
Q9HAV4	XPO5_HUMAN	reviewed	Exportin-5 (Exp5) (Ran-binding protein 21)	Homo sapiens (Human)	1204	XPO5	KIAA1291;RANBP21
Q6ZRP5	YD019_HUMAN	reviewed	Putative uncharacterized protein FLJ46204	Homo sapiens (Human)	223	NA	NA
Q499Y3	YJ016_HUMAN	reviewed	Putative uncharacterized protein C10orf88-like	Homo sapiens (Human)	187	NA	NA
Q495M9	USH1G_HUMAN	reviewed	Usher syndrome type-1G protein (Scaffold protein containing ankyrin repeats and SAM domain)	Homo sapiens (Human)	461	USH1G	SANS
P18887	XRCC1_HUMAN	reviewed	DNA repair protein XRCC1 (X-ray repair cross-complementing protein 1)	Homo sapiens (Human)	633	XRCC1	NA
O00507	USP9Y_HUMAN	reviewed	Probable ubiquitin carboxyl-terminal hydrolase FAF-Y (EC 3.4.19.12) (Deubiquitinating enzyme FAF-Y) (Fat facets protein-related, Y-linked) (Ubiquitin thioesterase FAF-Y) (Ubiquitin-specific protease 9, Y chromosome) (Ubiquitin-specific-processing protease FAF-Y)	Homo sapiens (Human)	2555	USP9Y	DFFRY
A0A0B4J280	TVA40_HUMAN	reviewed	T cell receptor alpha variable 40	Homo sapiens (Human)	105	TRAV40	NA
A0A0A6YYJ7	TVA83_HUMAN	reviewed	T cell receptor alpha variable 8-3	Homo sapiens (Human)	113	TRAV8-3	NA
P11441	UBL4A_HUMAN	reviewed	Ubiquitin-like protein 4A (Ubiquitin-like protein GDX)	Homo sapiens (Human)	157	UBL4A	DXS254E;GDX;UBL4
Q8IWV8	UBR2_HUMAN	reviewed	E3 ubiquitin-protein ligase UBR2 (EC 2.3.2.27) (N-recognin-2) (RING-type E3 ubiquitin transferase UBR2) (Ubiquitin-protein ligase E3-alpha-2) (Ubiquitin-protein ligase E3-alpha-II)	Homo sapiens (Human)	1755	UBR2	C6orf133;KIAA0349
Q7RTX1	TS1R1_HUMAN	reviewed	Taste receptor type 1 member 1 (G-protein coupled receptor 70)	Homo sapiens (Human)	841	TAS1R1	GPR70;T1R1;TR1;GM148
Q9UNX4	WDR3_HUMAN	reviewed	WD repeat-containing protein 3	Homo sapiens (Human)	943	WDR3	NA
P57081	WDR4_HUMAN	reviewed	tRNA (guanine-N(7)-)-methyltransferase non-catalytic subunit WDR4 (Protein Wuho homolog) (hWH) (WD repeat-containing protein 4)	Homo sapiens (Human)	412	WDR4	NA
P58317	ZN121_HUMAN	reviewed	Zinc finger protein 121 (Zinc finger protein 20)	Homo sapiens (Human)	390	ZNF121	ZNF20
Q8WVS4	WDR60_HUMAN	reviewed	WD repeat-containing protein 60	Homo sapiens (Human)	1066	WDR60	NA
Q9BZM6	ULBP1_HUMAN	reviewed	UL16-binding protein 1 (ALCAN-beta) (NKG2D ligand 1) (N2DL-1) (NKG2DL1) (Retinoic acid early transcript 1I)	Homo sapiens (Human)	244	ULBP1	N2DL1;RAET1I
O75820	ZN189_HUMAN	reviewed	Zinc finger protein 189	Homo sapiens (Human)	626	ZNF189	NA
Q9UQR1	ZN148_HUMAN	reviewed	Zinc finger protein 148 (Transcription factor ZBP-89) (Zinc finger DNA-binding protein 89)	Homo sapiens (Human)	794	ZNF148	ZBP89
Q70J99	UN13D_HUMAN	reviewed	Protein unc-13 homolog D (Munc13-4)	Homo sapiens (Human)	1090	UNC13D	NA
P11172	UMPS_HUMAN	reviewed	Uridine 5'-monophosphate synthase (UMP synthase) [Includes: Orotate phosphoribosyltransferase (OPRT) (OPRTase) (EC 2.4.2.10); Orotidine 5'-phosphate decarboxylase (ODC) (EC 4.1.1.23) (OMPdecase)]	Homo sapiens (Human)	480	UMPS	OK/SW-cl.21
Q8N2C7	UNC80_HUMAN	reviewed	Protein unc-80 homolog	Homo sapiens (Human)	3258	UNC80	C2orf21;KIAA1843
Q5CZA5	ZN805_HUMAN	reviewed	Zinc finger protein 805	Homo sapiens (Human)	627	ZNF805	NA
Q9H7R0	ZN442_HUMAN	reviewed	Zinc finger protein 442	Homo sapiens (Human)	627	ZNF442	NA
Q8NB42	ZN527_HUMAN	reviewed	Zinc finger protein 527	Homo sapiens (Human)	609	ZNF527	KIAA1829
Q3MIS6	ZN528_HUMAN	reviewed	Zinc finger protein 528	Homo sapiens (Human)	628	ZNF528	KIAA1827
Q15631	TSN_HUMAN	reviewed	Translin (EC 3.1.-.-) (Component 3 of promoter of RISC) (C3PO)	Homo sapiens (Human)	228	TSN	NA
Q99598	TSNAX_HUMAN	reviewed	Translin-associated protein X (Translin-associated factor X)	Homo sapiens (Human)	290	TSNAX	TRAX
Q01534	TSPY1_HUMAN	reviewed	Testis-specific Y-encoded protein 1 (Cancer/testis antigen 78) (CT78)	Homo sapiens (Human)	308	TSPY1	TSPY
Q9BXA7	TSSK1_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 1 (TSK-1) (TSK1) (TSSK-1) (Testis-specific kinase 1) (EC 2.7.11.1) (Serine/threonine-protein kinase 22A)	Homo sapiens (Human)	367	TSSK1B	SPOGA1;SPOGA4;STK22A;STK22D;TSSK1;FKSG81
Q9Y5U2	TSSC4_HUMAN	reviewed	Protein TSSC4 (Tumor-suppressing STF cDNA 4 protein) (Tumor-suppressing subchromosomal transferable fragment candidate gene 4 protein)	Homo sapiens (Human)	329	TSSC4	NA
Q9BXA6	TSSK6_HUMAN	reviewed	Testis-specific serine/threonine-protein kinase 6 (TSK-6) (TSSK-6) (Testis-specific kinase 6) (EC 2.7.11.1) (Cancer/testis antigen 72) (CT72) (Serine/threonine-protein kinase SSTK) (Small serine/threonine kinase)	Homo sapiens (Human)	273	TSSK6	SSTK;FKSG82
Q9UK11	ZN223_HUMAN	reviewed	Zinc finger protein 223	Homo sapiens (Human)	482	ZNF223	NA
O14905	WNT9B_HUMAN	reviewed	Protein Wnt-9b (Protein Wnt-14b) (Protein Wnt-15)	Homo sapiens (Human)	357	WNT9B	WNT14B;WNT15;UNQ6973/PRO21956
P17023	ZNF19_HUMAN	reviewed	Zinc finger protein 19 (Zinc finger protein KOX12)	Homo sapiens (Human)	458	ZNF19	KOX12
Q9ULT0	TTC7A_HUMAN	reviewed	Tetratricopeptide repeat protein 7A (TPR repeat protein 7A)	Homo sapiens (Human)	858	TTC7A	KIAA1140;TTC7
Q3MJ62	ZSC23_HUMAN	reviewed	Zinc finger and SCAN domain-containing protein 23 (Zinc finger protein 390) (Zinc finger protein 453)	Homo sapiens (Human)	389	ZSCAN23	ZNF390;ZNF453
Q99536	VAT1_HUMAN	reviewed	Synaptic vesicle membrane protein VAT-1 homolog (EC 1.-.-.-)	Homo sapiens (Human)	393	VAT1	NA
Q9UPY5	XCT_HUMAN	reviewed	Cystine/glutamate transporter (Amino acid transport system xc-) (Calcium channel blocker resistance protein CCBR1) (Solute carrier family 7 member 11) (xCT)	Homo sapiens (Human)	501	SLC7A11	NA
Q9Y4I5	MTL5_HUMAN	reviewed	Tesmin (Metallothionein-like 5, testis-specific) (Testis-specific metallothionein-like protein)	Homo sapiens (Human)	508	TESMIN	MTL5
O15439	MRP4_HUMAN	reviewed	Multidrug resistance-associated protein 4 (ATP-binding cassette sub-family C member 4) (MRP/cMOAT-related ABC transporter) (Multi-specific organic anion transporter B) (MOAT-B)	Homo sapiens (Human)	1325	ABCC4	MRP4
Q5TGP6	MROH9_HUMAN	reviewed	Maestro heat-like repeat-containing protein family member 9	Homo sapiens (Human)	573	MROH9	C1orf129
P22103	PNEU_HUMAN	reviewed	Pneumadin (PNM)	Homo sapiens (Human)	10	NA	NA
Q86UW6	N4BP2_HUMAN	reviewed	NEDD4-binding protein 2 (N4BP2) (EC 3.-.-.-) (BCL-3-binding protein)	Homo sapiens (Human)	1770	N4BP2	B3BP;KIAA1413
Q8IXW5	RPAP2_HUMAN	reviewed	Putative RNA polymerase II subunit B1 CTD phosphatase RPAP2 (EC 3.1.3.16) (RNA polymerase II-associated protein 2)	Homo sapiens (Human)	612	RPAP2	C1orf82
Q96AX2	RAB37_HUMAN	reviewed	Ras-related protein Rab-37	Homo sapiens (Human)	223	RAB37	NA
P10826	RARB_HUMAN	reviewed	Retinoic acid receptor beta (RAR-beta) (HBV-activated protein) (Nuclear receptor subfamily 1 group B member 2) (RAR-epsilon)	Homo sapiens (Human)	455	RARB	HAP;NR1B2
P29350	PTN6_HUMAN	reviewed	Tyrosine-protein phosphatase non-receptor type 6 (EC 3.1.3.48) (Hematopoietic cell protein-tyrosine phosphatase) (Protein-tyrosine phosphatase 1C) (PTP-1C) (Protein-tyrosine phosphatase SHP-1) (SH-PTP1)	Homo sapiens (Human)	595	PTPN6	HCP;PTP1C
P61313	RL15_HUMAN	reviewed	60S ribosomal protein L15 (Large ribosomal subunit protein eL15)	Homo sapiens (Human)	204	RPL15	EC45;TCBAP0781
Q9BQ04	RBM4B_HUMAN	reviewed	RNA-binding protein 4B (RNA-binding motif protein 30) (RNA-binding motif protein 4B) (RNA-binding protein 30)	Homo sapiens (Human)	359	RBM4B	RBM30
Q14498	RBM39_HUMAN	reviewed	RNA-binding protein 39 (CAPER alpha) (Hepatocellular carcinoma protein 1) (RNA-binding motif protein 39) (RNA-binding region-containing protein 2) (Splicing factor HCC1)	Homo sapiens (Human)	530	RBM39	HCC1;RNPC2
Q9NZH5	PTTG2_HUMAN	reviewed	Securin-2 (Pituitary tumor-transforming gene 2 protein)	Homo sapiens (Human)	202	PTTG2	NA
Q3LXA3	TKFC_HUMAN	reviewed	Triokinase/FMN cyclase (Bifunctional ATP-dependent dihydroxyacetone kinase/FAD-AMP lyase (cyclizing)) [Includes: ATP-dependent dihydroxyacetone kinase (DHA kinase) (EC 2.7.1.28) (EC 2.7.1.29) (Glycerone kinase) (Triokinase) (Triose kinase); FAD-AMP lyase (cyclizing) (EC 4.6.1.15) (FAD-AMP lyase (cyclic FMN forming)) (FMN cyclase)]	Homo sapiens (Human)	575	TKFC	DAK
Q9GZZ9	UBA5_HUMAN	reviewed	Ubiquitin-like modifier-activating enzyme 5 (Ubiquitin-activating enzyme 5) (ThiFP1) (UFM1-activating enzyme) (Ubiquitin-activating enzyme E1 domain-containing protein 1)	Homo sapiens (Human)	404	UBA5	UBE1DC1
Q16763	UBE2S_HUMAN	reviewed	Ubiquitin-conjugating enzyme E2 S (EC 2.3.2.23) (E2 ubiquitin-conjugating enzyme S) (E2-EPF) (Ubiquitin carrier protein S) (Ubiquitin-conjugating enzyme E2-24 kDa) (Ubiquitin-conjugating enzyme E2-EPF5) (Ubiquitin-protein ligase S)	Homo sapiens (Human)	222	UBE2S	E2EPF;OK/SW-cl.73
Q7Z6J8	UBE3D_HUMAN	reviewed	E3 ubiquitin-protein ligase E3D (EC 2.3.2.26) (HECT-type E3 ubiquitin transferase E3D) (UbcH10-binding protein with a HECT-like domain) (Ubiquitin-conjugating enzyme E2C-binding protein)	Homo sapiens (Human)	389	UBE3D	C6orf157;H10BH;UBE2CBP
E5RIL1	UPKL2_HUMAN	reviewed	Uroplakin-3b-like protein 2	Homo sapiens (Human)	263	UPK3BL2	NA
Q9UK80	UBP21_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 21 (EC 3.4.19.12) (Deubiquitinating enzyme 21) (Ubiquitin thioesterase 21) (Ubiquitin-specific-processing protease 21)	Homo sapiens (Human)	565	USP21	USP23;PP1490
Q9HBJ7	UBP29_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 29 (EC 3.4.19.12) (Deubiquitinating enzyme 29) (Ubiquitin thioesterase 29) (Ubiquitin-specific-processing protease 29)	Homo sapiens (Human)	922	USP29	NA
Q86YH2	Z280B_HUMAN	reviewed	Zinc finger protein 280B (5'OY11.1) (Suppressor of hairy wing homolog 2) (Zinc finger protein 279) (Zinc finger protein 632)	Homo sapiens (Human)	543	ZNF280B	SUHW2;ZNF279;ZNF632
A6NNY8	UBP27_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 27 (EC 3.4.19.12) (Deubiquitinating enzyme 27) (Ubiquitin carboxyl-terminal hydrolase 22-like) (Ubiquitin thioesterase 27) (Ubiquitin-specific-processing protease 27) (X-linked ubiquitin carboxyl-terminal hydrolase 27)	Homo sapiens (Human)	438	USP27X	USP22L;USP27
Q70EK8	UBP53_HUMAN	reviewed	Inactive ubiquitin carboxyl-terminal hydrolase 53 (Inactive ubiquitin-specific peptidase 53)	Homo sapiens (Human)	1073	USP53	KIAA1350
Q86UV5	UBP48_HUMAN	reviewed	Ubiquitin carboxyl-terminal hydrolase 48 (EC 3.4.19.12) (Deubiquitinating enzyme 48) (Ubiquitin thioesterase 48) (Ubiquitin-specific peptidase 48) (Ubiquitin-specific protease 48) (Ubiquitin-specific-processing protease 48)	Homo sapiens (Human)	1035	USP48	USP31
Q8N7P7	YH007_HUMAN	reviewed	Uncharacterized protein FLJ40521	Homo sapiens (Human)	452	NA	NA
Q6P3V2	Z585A_HUMAN	reviewed	Zinc finger protein 585A	Homo sapiens (Human)	769	ZNF585A	NA
Q6N043	Z280D_HUMAN	reviewed	Zinc finger protein 280D (Suppressor of hairy wing homolog 4) (Zinc finger protein 634)	Homo sapiens (Human)	979	ZNF280D	KIAA1584;SUHW4;ZNF634
Q9BTP6	ZBED2_HUMAN	reviewed	Zinc finger BED domain-containing protein 2	Homo sapiens (Human)	218	ZBED2	NA
P86452	ZBED6_HUMAN	reviewed	Zinc finger BED domain-containing protein 6	Homo sapiens (Human)	979	ZBED6	NA
Q14CS0	UBX2B_HUMAN	reviewed	UBX domain-containing protein 2B (NSFL1 cofactor p37) (p97 cofactor p37)	Homo sapiens (Human)	331	UBXN2B	NA
O96006	ZBED1_HUMAN	reviewed	Zinc finger BED domain-containing protein 1 (Putative Ac-like transposable element) (dREF homolog)	Homo sapiens (Human)	694	ZBED1	ALTE;DREF;KIAA0785;TRAMP
A2A288	ZC12D_HUMAN	reviewed	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)	Homo sapiens (Human)	527	ZC3H12D	C6orf95;MCPIP4;TFL
Q53FD0	ZC21C_HUMAN	reviewed	Zinc finger C2HC domain-containing protein 1C	Homo sapiens (Human)	456	ZC2HC1C	C14orf140;FAM164C
Q2T9J0	TYSD1_HUMAN	reviewed	Peroxisomal leader peptide-processing protease (EC 3.4.21.-) (Trypsin domain-containing protein 1) [Cleaved into: Peroxisomal leader peptide-processing protease, 15 kDa form; Peroxisomal leader peptide-processing protease, 45 kDa form]	Homo sapiens (Human)	566	TYSND1	NA
Q8IZN3	ZDH14_HUMAN	reviewed	Probable palmitoyltransferase ZDHHC14 (EC 2.3.1.225) (NEW1 domain-containing protein) (NEW1CP) (Zinc finger DHHC domain-containing protein 14) (DHHC-14)	Homo sapiens (Human)	488	ZDHHC14	NA
P04818	TYSY_HUMAN	reviewed	Thymidylate synthase (TS) (TSase) (EC 2.1.1.45)	Homo sapiens (Human)	313	TYMS	TS;OK/SW-cl.29
